1. die Tragfläche | aerofoil/airfoil/foil | IMPROVE: wing/airfoil - This most often means an aircraft wing; "foil" alone is misleading.
547. der Fächerkanon | fan canon | WRONG: range/canon of subjects - The first element means school or academic subjects, not fans.
548. der Fachterminus | technical term/specialist term | OK
549. das Fachwerkgebäude | half-timbered building | OK
550. die Fahrdynamik | dynamics | IMPROVE: driving dynamics - The current gloss is too broad for Fahrdynamik.
551. die Fahrerkabine | chauffeur cabin | WRONG: driver's cab - Fahrer means driver, not chauffeur specifically.
552. die Fahrgastzahl | passenger count | OK
553. die Fahrplanänderung | alteration in the timetable/change in the timetable | OK
554. das Fahrradschloss | bike lock | OK
555. die Fahrtstrecke | route/distance traveled | OK
556. das Familieneinkommen | family income | OK
557. die Familienforschung | family research | OK
558. der Familienzuwachs | family accession | WRONG: new addition to the family - Familienzuwachs means a new family member, not accession.
559. die Berlinerin | Berliner (female) | OK
560. die Farbtemperatur | colour temperature | OK
561. der Faschist | fascist | OK
562. die Fehlernährung | bad eating habits/malnutrition | OK
563. die Fehlerrate | blemish installment | WRONG: error rate - Fehler means error and Rate means rate here.
564. die Fehlinvestition | bad investment/false investment/malinvestment | OK
565. die Feigheit | cowardice | OK
566. das Feldbett | camp bed/cot | OK
567. der Feldstein | field boulder | OK
568. der Ferienflieger | holidays aeroplane | WRONG: holiday flight/holiday airline - Ferienflieger refers to holiday air travel, not a holidays aeroplane.
569. die Vernehmung | comprehension/interrogation/perception | IMPROVE: interrogation/questioning - Vernehmung primarily means interrogation; the other listed senses mislead.
570. die Fernsehanstalt | asylum | WRONG: television station/broadcaster - Anstalt means institution here, not asylum.
571. das Fernsehbild | idea | WRONG: television picture/image - Bild means picture or image here, not idea.
572. der Fernsehstar | television star/TV star | OK
573. das Fertigteil | prefabricated component/finished part | OK
574. die Fessel | ankle/chain/fetter | OK
575. die Festivität | festivity | OK
576. der Feststoff | solid | OK
577. die Feuchte | humidity | OK
578. der Feuerwehreinsatz | fire brigade operation | OK
579. das Fiasko | fiasco/flop | OK
580. die Fibromyalgie | fibromyalgia | OK
581. der Filmausschnitt | film clip | OK
582. das Filmstudio | film studio/movie studio | OK
583. die Finalistin | finalist (female) | OK
584. der Finanzbereich | financial sector/financial area | OK
585. der Finanzplatz | financial center | OK
586. der Finanzvorstand | CFO/chief financial officer | OK
587. die Fingerkuppe | fingertip | OK
588. der Fingerzeig | cue/hint/pointer | OK
589. das Finish | finish/finishing touch | OK
590. der Fink | finch | OK
591. das Firmenfahrzeug | vehicle | IMPROVE: company vehicle - The current gloss omits the Firmen- part.
592. das Firmengebäude | company building | OK
593. das Fischerboot | fishing boat | OK
594. der Fischereihafen | harbour | IMPROVE: fishing harbor - The current gloss omits the fishery meaning.
595. der Fischteich | fishpond | OK
596. der Flächenbrand | surface fire | IMPROVE: wildfire/conflagration - Surface fire is too literal for the usual German meaning.
597. der Flächeninhalt | area | OK
598. der Verrat | betrayal/treason | OK
599. die Fleischsorte | type of meat | OK
600. die Fleischware | meat product | OK
601. der Florist | florist | OK
602. der Flüchtige | fugitive | OK
603. die Flüchtlingsbewegung | refugee movement | OK
604. die Flüchtlingsinitiative | refugee initiative | OK
605. der Fluchtversuch | escape attempt | OK
606. die Flügeltür | double wing door/leaf door/swing door | OK
607. die Flugschule | flight school | OK
608. die Flugstunde | flight hour | OK
609. das Flugtaxi | flight cab | WRONG: air taxi - Flugtaxi is an air taxi, not a flight cab.
610. der Flugversuch | flight attempt | IMPROVE: flight test/trial flight - Versuch here is a test or trial, not merely an attempt.
611. der Flugzeughersteller | aircraft manufacturer | OK
612. das Flussdiagramm | flowchart | OK
613. die Flüssigkeitsaufnahme | fluid absorption | WRONG: fluid intake - Aufnahme means intake here, not absorption.
614. der Forderungskatalog | claim catalogue | WRONG: catalogue/list of demands - Forderung means demand or claim, not claim catalogue as an English term.
615. die Fotodokumentation | photo documentation | OK
616. die Fotosammlung | photo collection/photography collection | OK
617. das Frachtschiff | cargo ship/freighter | OK
618. der Fragesteller | asker/interrogator/questioner | OK
619. das Franziskanerkloster | Franciscan cloister | IMPROVE: Franciscan monastery - Kloster is monastery; cloister is too narrow.
620. der Frauenchor | women's choir | OK
621. die Studiengebühr | tuition fees | OK
622. der Freitod | death | WRONG: suicide - Freitod is a euphemistic term for suicide, not death in general.
623. die Friedenszeit | peacetime | OK
624. die Frikadelle | burger/frikkadel/hamburger | IMPROVE: meatball/patty - The current gloss can mislead learners toward a burger sandwich.
625. der Frisör | hairdresser | OK
626. der Fritz | Fritz/Jerry/Kraut | OK
627. der Fruchtaufstrich | fruit spread | OK
628. der Früh | morning (Austrian) | OK
629. der Frühbucher | early bird/early booker | OK
630. das FSJ | voluntary social year (FSJ) | OK
631. die Führungsqualität | leadership/leadership skills | OK
632. die Führungsriege | leadership circles | OK
633. der Füllstoff | filler | OK
634. der Fundamentalismus | fundamentalism | OK
635. der Fünfer | fiver/pentad/quintet | OK
636. die Funkstille | radio silence | OK
637. die Furche | furrow | OK
638. das Ganglion | ganglion/ganglion cyst | OK
639. die Garnisonkirche | garrison church | OK
640. das Gartencenter | garden centre | OK
641. die Gartenkultur | garden cultural | WRONG: garden culture - Kultur is a noun here; "garden cultural" is ungrammatical.
642. der Gartentisch | garden table | OK
643. der Gartenzaun | garden fence | OK
644. die Betriebsführung | operational management | OK
645. der Gasaustausch | gas exchange | OK
646. der Gastbetrieb | guest business | WRONG: hospitality business/host establishment - Gastbetrieb is a hospitality business, not a guest business.
647. die Gastfreundlichkeit | hospitality | OK
648. der Gastredner | guest lecturer/guest speaker/invited lecturer | OK
649. die Gebirgskette | chain of mountains | OK
650. die Gebrauchsanleitung | application guidance | WRONG: instructions for use/user manual - Gebrauchsanleitung is usage instructions, not application guidance.
651. das Geburtsland | birth country | OK
652. der Gefrierbeutel | freezer bag | OK
653. das Gefriergerät | freezer | OK
654. die Gegendarstellung | counterstatement/rebuttal | OK
655. die Gegenwartsliteratur | presence literature | WRONG: contemporary literature - Gegenwart means the present, not presence in this compound.
656. der Gehbehinderte | disabled person | IMPROVE: person with a walking disability - The current gloss is too broad; Geh- specifies walking.
657. die Geheimpolizei | secret police | OK
658. die Geheimsprache | secret language | OK
659. die Geisterbahn | dark ride/ghost train | OK
660. die Geldkarte | money card | IMPROVE: cash card/stored-value card - Geldkarte is a cash or stored-value card, not just any money card.
661. das Brauhaus | brewery | OK
662. das Geldverdienen | earning money | OK
663. das Gemach | apartment/chamber/room | OK
664. der Gemahl | husband/spouse/husband (formal) | OK
665. die Gemeindebibliothek | municipality library | IMPROVE: municipal/community library - The current gloss is literal and unnatural.
666. der Gemeindepfarrer | municipality pastor | WRONG: parish priest - Gemeindepfarrer means the priest or pastor of a parish/community.
667. die Gemeine | the common/lowly | OK
668. der Generalintendant | general artistic director | OK
669. der Genius | genius | OK
670. der Genozid | genocide | OK
671. der Bügel | clip/earpiece/hanger | OK
672. der Gerstensaft | beer | OK
673. die Bundeshauptstadt | federal capital | OK
674. die Gesamtmenge | abundance | WRONG: total quantity - Gesamtmenge means the total amount, not abundance.
675. der Geschenkartikel | gift item | OK
676. der Geschichtenerzähler | storyteller | OK
677. die Geschichtsdidaktik | didactics of history | OK
678. die Geschichtsforschung | historical research | OK
679. das Geschirrtuch | dish towel/dishtowel/tea cloth | OK
680. die Geschlechtskrankheit | STD/STI/sexually transmitted disease | OK
681. die Geschlechtsreife | sexual maturity | OK
682. die Geschwindigkeitsbeschränkung | speed limit | OK
683. die Geschwulst | growth/tumo(u)r | OK
684. das Gesellschaftssystem | social system/societal system | OK
685. der Bürgersteig | footpath/pavement/sidewalk | OK
686. die Gesteinsart | rock type | OK
687. die Gesundung | recovery | OK
688. die Gewerbeschule | occupation school | WRONG: vocational/trade school - Gewerbe means trade or vocational occupation here.
689. das Gewinde | thread | OK
690. die Gewinnzahl | gain count | WRONG: winning number - Gewinnzahl is a number that wins, not a gain count.
691. das Glanzstück | showpiece/highlight | OK
692. die Glasplatte | glass baldhead | WRONG: glass plate - Platte means plate or pane here, not baldhead.
693. die Glätte | smoothness | OK
694. die Glatze | bald head/skinhead | OK
695. der Glaubenssatz | belief composition | WRONG: belief/tenet - Satz means proposition or tenet here, not composition.
696. das Gliom | glioma | OK
697. der Golfstrom | Gulf Stream | OK
698. die Grabbeigabe | burial object | OK
699. die Grabstelle | gravesite | OK
700. der Graphit | graphite | OK
701. der Graus | horror | OK
702. die Grenzerfahrung | edge experience | WRONG: borderline experience/liminal experience - Grenze means boundary or limit here, not edge as a location.
703. die Grenzfläche | interface/boundary surface | OK
704. die Grenzpolizei | border police | OK
705. die Gretchenfrage | Margaret's question/crunch question/litmus test | IMPROVE: crucial question/litmus test - The literal name is less useful than the idiomatic meaning.
706. der Grieß | semolina | OK
707. die Großdemonstration | demonstration | IMPROVE: large-scale demonstration - The current gloss omits the large-scale element.
708. die Größenangabe | quantity declaration | WRONG: size indication/specification - The compound refers to size here, not quantity.
709. die Größenklasse | magnitude | WRONG: size class - This means a size category, not magnitude alone.
710. der Großinvestor | investor | IMPROVE: major investor - The current gloss omits the major/large element.
711. die Grünbrücke | ecoduct/green bridge/wildlife crossing | OK
712. der Grundbegriff | basic concept | OK
713. der Grundbucheintrag | cadaster entry | WRONG: land register entry - Grundbuch is the land register, not the cadaster.
714. die Gründlichkeit | closeness/thoroughness | IMPROVE: thoroughness - The current gloss includes a misleading "closeness" sense.
715. der Gründonnerstag | Covenant Thursday/Great and Holy Thursday/Maundy Thursday | OK
716. der Grundschulbereich | elementary school area | OK
717. der Grünspecht | green woodpecker/sprite/yaffle | OK
718. die Gruppenausstellung | group exhibition | OK
719. die Guerilla | guerilla/guerrilla | OK
720. das Gummiband | elastic band | OK
721. der Haaransatz | hairline | OK
722. das Hafenbecken | harbour basin | OK
723. die Hafenrundfahrt | conducted boat tour of the harbour | OK
724. das Halbwissen | knowledge | WRONG: half-knowledge/superficial knowledge - Halbwissen means partial or superficial knowledge.
725. das Hallendach | hall roof | OK
726. der Hallenser | person from Halle | OK
727. das Verwalten | administering/managing | OK
728. die Halterin | owner/keeper (female) | OK
729. die Hämophilie | haemophilia/hemophilia | OK
730. der Händedruck | handshake | OK
731. die Handelsbilanz | balance of trade/commercial balance sheet | OK
732. das Händeschütteln | shaking hands | OK
733. der Handlungsdruck | act pressing | WRONG: pressure to act - Handlung means action here, not act as a performance.
734. die Handlungsfreiheit | act freedom | WRONG: freedom of action - Handlung means action here; the current gloss is literal and unidiomatic.
735. der Handlungsraum | room for maneuver/scope for action | OK
736. der Handstaubsauger | hand-held vacuum cleaner | OK
737. der Handwerksmeister | master craftsman | OK
738. die Hängepartie | adjourned game | IMPROVE: unresolved situation - This is commonly an unresolved matter, not only an adjourned game.
739. der Happen | bite | OK
740. die Harninkontinenz | urinary incontinence | OK
741. das Hartholz | timber | WRONG: hardwood - Hartholz means hardwood, not timber in general.
742. der Hattrick | hat trick | OK
743. die Hauptfunktion | main function | OK
744. die Hauptkirche | main church | OK
745. die Datenschutzrichtlinie | data protection directive | IMPROVE: privacy policy/data protection policy - For learners this is usually a policy, not only a legal directive.
746. die Hauptplatine | mainboard/motherboard/system board | OK
747. die Debitkarte | debit card | OK
748. das Haushaltsdefizit | budget deficit/fiscal deficit | OK
749. der Hausverwalter | property manager (m.) | OK
750. der Hautflügler | hymenopteran | OK
751. der Hautkontakt | covering contact | WRONG: skin contact - Haut means skin, not covering.
752. das Hautkrebsrisiko | covering cancer risk | WRONG: skin cancer risk - Hautkrebs means skin cancer, not covering cancer.
753. die Heilanstalt | hail asylum | WRONG: sanatorium/medical institution - Heil- means healing/medical here, not hail.
754. die Heilkraft | healing power | OK
755. das Heilverfahren | hail action | WRONG: treatment/therapy - Heilverfahren is a therapeutic procedure, not hail action.
756. der Heißhunger | ravenousness | OK
757. das Heizwerk | heating plant/thermal power station | OK
758. die Hemisphäre | hemisphere | OK
759. die Hereingabe | input | OK
760. die Hermeneutik | hermeneutics | OK
761. die Herstellkosten | production costs/manufacturing costs | OK
762. der Herzmuskel | cardiac muscle/heart muscle | OK
763. der Herztod | heart death | IMPROVE: cardiac death - This is the natural medical term.
764. die Heuchelei | hypocrisy | OK
765. das Hilfsprogramm | help channel | WRONG: aid program/assistance program - Hilfsprogramm is an aid program, not a help channel.
766. die Himmelsleiter | Jacob's ladder | OK
767. der Hintergedanke | hidden agenda/ulterior motive | OK
768. das Hintergrundgeräusch | background noise | OK
769. die Hirnhaut | meninx | OK
770. die Hirse | millet | OK
771. die Hitliste | list | IMPROVE: hit list/ranking chart - The current gloss is too broad.
772. das Hochfest | solemnity | OK
773. der Hochgenuss | anticyclone enjoyment | WRONG: great pleasure/treat - Hochgenuss is intense enjoyment, not related to high pressure weather.
774. der Hochschulsystem | anticyclone school system | WRONG: university system/higher education system - Hochschule means university or higher education here.
775. der Hochsitz | raised hide | OK
776. das Höchstalter | maximum age | OK
777. die Höchstarbeitszeit | hours of work | WRONG: maximum working hours - The compound means maximum working time, not hours of work in general.
778. die Höchsttemperatur | highest temperature | OK
779. die Hochwassergefahr | flood danger | OK
780. das Hochzeitsfoto | wedding photo | OK
781. die Höhenangst | acrophobia | OK
782. der Stakeholder | stakeholder | OK
783. der Holzlöffel | wooden spoon | OK
784. der Holzvorrat | timber provisions | WRONG: wood stock/timber reserves - Vorrat means stock or reserve, not provisions in this context.
785. die Homogenität | homogeneity | OK
786. der Hörgenuss | listening pleasure | OK
787. das Horrorszenario | horror scenario | OK
788. die Hostie | host/sacramental bread | OK
789. das Hotelrestaurant | hotel restaurant | OK
790. die Hügelkette | ridge | OK
791. das Hühnchen | pullet | WRONG: chicken - This is a small chicken or chicken meat, not specifically a pullet.
792. die Hülse | casing/pod | OK
793. der Hummus | hummus | OK
794. die Hundeschule | canidae school | WRONG: dog school - Hund means dog; Canidae is the biological family.
795. der Hungerlohn | pittance | OK
796. die Hüpfburg | bouncy castle | OK
797. der Hydrant | fire hydrant/fireplug/hydrant | OK
798. der Hymnus | hymn | OK
799. der Drogenkonsum | consumption of drugs | OK
800. der Illegale | undocumented person/illegal | OK
801. die Immigration | immigration | OK
802. die Immission | immission | OK
803. die Immunschwäche | immunodeficiency | OK
804. die Impedanz | impedance | OK
805. das Incentive | incentive | OK
806. die Industriegesellschaft | industry company | WRONG: industrial society/industrialized society - Industriegesellschaft is a type of society, not a company.
807. die Industrieproduktion | industry production | OK
808. der Industrieroboter | industrial robot | OK
809. der Industriesektor | industrial sector | OK
810. die Industriestadt | industrial city/industrial town | OK
811. der Infektionsschutz | infection protection | OK
812. das Infotainment | infotainment | OK
813. die Infusionslösung | infusion/infusion solution/infusion-solution | OK
814. der Ingolstädter | city dweller | WRONG: person from Ingolstadt/Ingolstadt resident - This is a demonym, not a generic city dweller.
815. die Inhaltsanalyse | content analysis | OK
816. das Inkassounternehmen | debt collection agency | OK
817. die Innenfläche | inner surface/inside area | OK
818. der Innensenator | senator | WRONG: interior senator - Innen- specifies interior/home affairs, not senator in general.
819. die Intendanz | directorship (theatre) | OK
820. der Interessenausgleich | balance of interests | OK
821. der Interessenschwerpunkt | main area of interest | OK
822. das Interessensgebiet | area of interest | OK
823. das Intermezzo | interlude/intermezzo | OK
824. die Internationale | ale | WRONG: International/The Internationale - The current gloss "ale" is unrelated.
825. der Internethandel | e-commerce | OK
826. der Intersexuelle | intersexual | IMPROVE: intersex person - The noun refers to a person; "intersexual" is adjectival and dated.
827. die Irrfahrt | odyssey/random walk | OK
828. der Irrgarten | knot garden/labyrinth/maze | OK
829. das Jackett | jacket | OK
830. das Jahresabo | annual subscription | OK
831. der Jahreskreis | annual cycle | OK
832. das Jahresmittel | annual average | OK
833. das Jahreszeugnis | annual report card | OK
834. der Josefstag | St. Joseph's Day | OK
835. das Jubiläumskonzert | anniversary concert | OK
836. die Judikative | judiciary | OK
837. die Jugendweihe | adolescence consecration | WRONG: youth consecration - Jugendweihe is a secular coming-of-age ceremony.
838. der Jüngling | sapling/stripling/youngling | IMPROVE: young man/youth - The current gloss includes odd or misleading terms.
839. der Juniorchef | junior manager/junior boss | OK
840. der Jurastudent | Jurassic student | WRONG: law student - Jura means law, not Jurassic.
841. der Justiziar | legal counsel | OK
842. der Durchschnittswert | average value | OK
843. der Kabelbinder | cable tie/hose tie/steggel tie | OK
844. der Kachelofen | tiled stove | OK
845. der Kaffeeautomat | coffee dispenser | OK
846. der Kaffeebecher | coffee mug | OK
847. der Eckpfeiler | cornerstone/pillar | OK
848. die Kalkablagerung | calcific deposit/calcification/lime deposit | OK
849. die Kamille | camomile | OK
850. das Kaminholz | chimney timber | WRONG: firewood - Kaminholz is wood for a fireplace, not chimney timber.
851. der Kammerjäger | pest exterminator | OK
852. das Kampfflugzeug | combat aircraft/fighter/fighter plane | OK
853. der Kampfpanzer | main battle tank | OK
854. der Kampfpreis | competitive price/killer price | OK
855. die Kanadierin | Canadian | OK
856. die Kanüle | cannula | OK
857. das Karat | carat/karat | OK
858. der Kardamom | cardamom | OK
859. die Karenzzeit | period of restriction/qualifying period/waiting period | OK
860. die Karlsbrücke | Charles Bridge | OK
861. der Karnevalist | cunning | WRONG: carnival enthusiast/participant - Karnevalist is a carnival person, not cunning.
862. der Karsamstag | Holy Saturday | OK
863. das Kassenhäuschen | box office | OK
864. der Kassensturz | cash count/cash audit | OK
865. die Kaste | caste | OK
866. die Kasuistik | casuistry | OK
867. die Kate | small cottage | OK
868. die Katholikin | Catholic woman | OK
869. die Katzenminze | catmint/catnip | OK
870. das Kaufinteresse | buying interest | OK
871. das Kavaliersdelikt | peccadillo/trivial offence | OK
872. der Kaviar | caviar/caviare | OK
873. der Kehlkopf | larynx | OK
874. der Virenscanner | scanner | WRONG: virus scanner - Viren- specifies viruses, not scanners generally.
875. der Kerker | dungeon | OK
876. die Kernforderung | core demand/key demand | OK
877. das Kerzenlicht | candlelight | OK
878. die Kiesgrube | gravel pit/gravel quarry | OK
879. der Kimono | kimono | OK
880. die Kinderbekleidung | children's clothing | OK
881. das Kinderfahrrad | child's bicycle | OK
882. die Kinderheilkunde | child healing arts | WRONG: pediatrics/paediatrics - Kinderheilkunde is the medical field of pediatrics.
883. die Kindersicherung | childproof lock/child safety lock | OK
884. die Kinderwelt | child Earth | WRONG: children's world - Welt means world here, not Earth as a planet.
885. der Kindstod | child/death | WRONG: infant death/child death - Kindstod means the death of a child, often infant death.
886. das Kirchengebäude | church/church building | OK
887. das Kitz | fawn | OK
888. der Klangkörper | resonator | OK
889. das Klappern | clattering/rattling | OK
890. der Klarinettist | clarinetist | OK
891. der Klassenkampf | class struggle | OK
892. das Klavierspielen | piano playing | OK
893. die Kleiderspende | clothing donation | OK
894. der Kleindarsteller | bran actor | WRONG: bit-part actor/extra - Kleindarsteller is a minor-role actor, not a bran actor.
895. das Kleinformat | small format | OK
896. die Klettertour | tour | IMPROVE: climbing tour - The current gloss omits Kletter-.
897. die Klimaaktivistin | climate activist | OK
898. das Vogelschutzgebiet | bird sanctuary/protected bird area | OK
899. der Knabenchor | boy chancel | WRONG: boys' choir - Knabenchor is a choir of boys, not a chancel.
900. der Knicks | curtsy | OK
901. die Kniekehle | back of the knee/hollow of the knee/knee pit | OK
902. die Knochendichte | bone density | OK
903. die Kochsalzlösung | saline solution/salt solution | OK
904. der Kommandeur | commander | OK
905. die Komplementärmedizin | complementary medicine | OK
906. die Konfektion | clothing industry/make/manufacture | OK
907. der Konferenzteilnehmer | conferee/conference delegate/conference member | OK
908. der Konfirmandenunterricht | confirmation classes | OK
909. das Konfliktpotenzial | clash potential | WRONG: potential for conflict - Konflikt means conflict, not clash as an adjective.
910. die Königsstadt | king centre | WRONG: royal city - This means royal or king city, not centre.
911. die Königstochter | king's daughter | OK
912. der Konrektor | principal | WRONG: deputy head/vice principal - Konrektor is normally the deputy principal, not the principal.
913. die Konrektorin | headmistress | WRONG: deputy headmistress/vice principal - Konrektorin is the female deputy principal.
914. die Kontoführungsgebühr | fee | WRONG: account maintenance fee - The compound specifies account management, not fee alone.
915. der Kontrakt | suite | WRONG: contract - Kontrakt means contract, not suite.
916. der Konvoi | convoy | OK
917. die Kooperationsbereitschaft | co-operation emergency service | WRONG: willingness to cooperate - Bereitschaft means willingness/readiness here, not emergency service.
918. der Kopfairbag | head airbag | OK
919. der Koreaner | Korean | OK
920. das Korrektiv | corrective | OK
921. die Kostenreduktion | cost reduction | OK
922. das Kraftfutter | concentrate | IMPROVE: concentrated feed - Kraftfutter is animal feed; "concentrate" alone is too vague.
923. der Kram | stuff | OK
924. die Krankenhausapotheke | hospital pharmacy | OK
925. die Krankensalbung | Anointing of the Sick | OK
926. die Krankenstation | infirmary/ward | OK
927. das Krankenzimmer | sickroom | OK
928. die Krebsvorstufe | Cancer preamplifier | WRONG: precancerous stage - Vorstufe means preliminary stage, not preamplifier.
929. die Kreidezeit | Cretaceous | OK
930. das Kreuzchen | small cross/tick | OK
931. das Kreuzworträtsel | crossword | OK
932. die Kriegsführung | warfare | OK
933. das Kriegsgerät | war equipment/military equipment | OK
934. die Kriegswaffe | weapon of war | OK
935. die Kriminalitätsrate | crime rate | OK
936. die Einholung | obtaining/collecting | OK
937. der Kubus | cube | OK
938. das Kügelchen | small ball/pellet | OK
939. die Kühle | coolness | OK
940. das Kulturinstitut | cultural institute | OK
941. der Elch | elk/moose | OK
942. die Kulturwissenschaftlerin | cultural scientist | OK
943. der Kümmel | caraway | OK
944. die Künstlerkolonie | art colony/artists' colony | OK
945. der Kunstmarkt | art market | OK
946. das Kunststoffgranulat | plastic granulate | OK
947. die Kuppe | hilltop/tip | OK
948. der Kurierdienst | courier service | OK
949. die Kurzhaarfrisur | haircut | IMPROVE: short hairstyle - The current gloss is too broad.
950. das Kurzzeitkennzeichen | licence plate | IMPROVE: temporary license plate/short-term plate - The current gloss omits Kurzzeit-.
951. die Küstenstraße | coast road | OK
952. der Küster | sacristan/sexton/verger | OK
953. der Kutter | cutter | OK
954. die Laborbedingung | lab circumstance | WRONG: laboratory condition - Bedingung means condition, not circumstance as a set phrase here.
955. die Ladungssicherung | cargo securing/load securing | OK
956. der Ladungsträger | charge carrier | OK
957. die Landflucht | country alignement | WRONG: rural exodus - Landflucht means migration away from the countryside.
958. der Landgang | shore leave | OK
959. das Ländle | Swabia/the Ländle | OK
960. die Landmasse | landmass | OK
961. die Landwirtin | farmer | OK
962. die Langzeitwirkung | long-term effect/long-term impact | OK
963. der Lateinunterricht | Latin lessons | OK
964. das Laubholz | hardwood/deciduous wood | OK
965. das Lebenselixier | life elixir | OK
966. die Lebensfrage | life issue | IMPROVE: question of life/existential question - The current gloss is literal and less useful.
967. der Lebensinhalt | life content | WRONG: purpose in life - Lebensinhalt means what gives life meaning, not life content.
968. die Leberfunktion | liver function | OK
969. der Leberwert | liver price | WRONG: liver value - Wert means a medical value here, not price.
970. die Leberwurst | liver sausage/liverwurst | OK
971. die Leerstandsquote | disposable portion | WRONG: vacancy rate - Leerstand means vacancy and Quote means rate.
972. die Legalität | legality | OK
973. der Legionär | legionnaire | OK
974. der Lehramtsstudent | student | WRONG: student teacher/teaching-degree student - Lehramt specifies teacher training, not student in general.
975. die Lehreinrichtung | apprenticeship design | WRONG: teaching institution - Lehre means teaching here, not apprenticeship design.
976. das Lehrgeld | apprenticeship dough | WRONG: tuition fee/lesson learned the hard way - Lehrgeld is money paid to learn or an idiom for costly experience.
977. der Leichtsinn | carelessness | OK
978. der Leiharbeiter | loan worker | WRONG: temporary agency worker - Leiharbeiter is a temp or agency worker, not a loan worker in English.
979. das Leitsystem | distributed control system | IMPROVE: guidance/control system - The current gloss is too specialized for the general German term.
980. die Lendenwirbelsäule | lumbar column/lumbar spine | OK
981. der Leporello | leporello/concertina-folded book | OK
982. die Lernmittelfreiheit | free learning resources/free provision of school materials | OK
983. die Lesefähigkeit | ability | WRONG: reading ability - Lese- specifies reading, not ability in general.
984. die Lesegeschwindigkeit | pace | WRONG: reading speed - Lese- specifies reading, not pace in general.
985. das Leuchtfeuer | beacon | OK
986. die Libido | libido | OK
987. der Lichtbildausweis | photo ID | OK
988. der Lichtschalter | light switch | OK
989. das Lichtspiel | light game | IMPROVE: play of light/light show - The current literal gloss is unnatural.
990. die Lichttechnik | light equipment | WRONG: lighting technology - Lichttechnik means lighting technology, not light equipment.
991. die Lichttherapie | light therapy | OK
992. der Liebesroman | romance novel | OK
993. die Lieblingsbeschäftigung | favourite activity | OK
994. das Lieblingsgericht | favourite dish | OK
995. das Lieblingsspiel | favourite game | OK
996. die Limette | lime | OK
997. das Endprodukt | end product/final product/finished product | OK
998. das Loblied | song of praise | OK
999. die Logdatei | log file | OK
1000. die Lokalzeitung | bar gazette | WRONG: local newspaper - Lokalzeitung is a local newspaper, not a bar gazette.
