1. der Lorbeer | bay leaf/sweat laurel | IMPROVE: laurel/bay laurel - "Bay leaf" is only the leaf; Lorbeer usually means the laurel plant or symbol.
538. die Tomatensauce | tomato sauce | OK
539. das Tonbandgerät | tape recorder | OK
540. die Tonhöhe | pitch | OK
541. die Tonspur | soundtrack | OK
542. der Topfavorit | tube top favourite | WRONG: top favorite - Topfavorit means the leading favorite, not a tube top favorite.
543. das Topteam | tube top team | WRONG: top team - Topteam means a leading team, not a tube top team.
544. der Torschuss | on-target shot/shot on goal | OK
545. das Torverhältnis | goal difference/goal ratio | OK
546. der Totengräber | burying beetle/gravedigger | OK
547. die Totgeburt | stillbirth | OK
548. die Trägheit | idleness/inertia | OK
549. die Trainingsmethode | training method | OK
550. die Trainingswissenschaft | training science | OK
551. die Traktion | traction | OK
552. die Trambahn | tramway | OK
553. der Trampelpfad | desire path | OK
554. das Trampeltier | Bactrian camel | OK
555. das Weihnachtsgeschäft | Christmas shopping season | OK
556. der Trauring | ring | WRONG: wedding ring - Trauring is a wedding ring, not a ring in general.
557. die Trauzeugin | maid of honour | OK
558. das Trekking | trekking | OK
559. die Trennlinie | dividing line/separating line | OK
560. das Treppensteigen | property | WRONG: climbing stairs/stair climbing - Treppensteigen is the act of climbing stairs, not property.
561. der Tretroller | kick scooter | OK
562. der Triebwagen | desire Dipper | WRONG: railcar - Triebwagen is a powered railcar, not a desire dipper.
563. das Gel | gel | OK
564. der Tubus | tube | OK
565. die Tundra | tundra | OK
566. der Turniersieger | tournament victor | OK
567. das Türschild | door shield | WRONG: doorplate/nameplate - T?rschild is a sign or plate on a door, not a shield.
568. die Typographie | typography | OK
569. der Überbringer | wrestler | WRONG: bearer/messenger - ?berbringer is someone who brings or delivers something, not a wrestler.
570. die Übergröße | oversise/plus size | OK
571. die Übersichtsarbeit | literature review/review article/review paper | OK
572. der Überweisungsschein | referral slip | OK
573. die Gemeinschaftspraxis | group medical practice/joint practice | OK
574. der Überzug | coat | OK
575. die Uferschnepfe | black-tailed godwit | OK
576. der Werbeträger | advertising medium | OK
577. der Ulmer | person from Ulm | OK
578. die Umbauphase | alteration phase | OK
579. die Umkreissuche | circumcircle search | WRONG: radius search/nearby search - Umkreissuche is a search within a surrounding radius, not circumcircle geometry.
580. der Umschlagplatz | place of transshipment | OK
581. der Umschweif | digression (in 'ohne Umschweife') | OK
582. der Umschwung | reversal | OK
583. der Umweltaktivist | ecological activist/environmental activist/green activist | OK
584. der Umweltbeauftragte | environment commissioner | OK
585. der Underdog | underdog | OK
586. die Unfallstatistik | accident statistics | OK
587. das Ungetüm | monster/monstrosity | OK
588. der Unimog | Unimog (Mercedes-Benz vehicle) | OK
589. die Universalität | universality | OK
590. die Unmittelbarkeit | immediacy | OK
591. der Unparteiische | impartial party/referee | OK
592. der Unterboden | subsoil | IMPROVE: underbody/subfloor - Unterboden often means a vehicle underbody or subfloor; subsoil is only a narrower sense.
593. der Untergebene | subordinate/underling | OK
594. die Unterhaltszahlung | alimony payment | OK
595. die Unterhitze | Jack heat | WRONG: bottom heat - Unterhitze is heat from below in an oven, not Jack heat.
596. die Unterordnung | hypotaxis/subordination | OK
597. die Unterschicht | lower class/underclass | OK
598. die Untersuchungskommission | board of inquiry/commission of inquiry/inquiry panel | OK
599. die Unterwerfung | subjection/subjugation/submission | OK
600. die Unverletzlichkeit | inviolability | OK
601. die Unwahrheit | untruth | OK
602. das Urlaubsbild | furlough idea | WRONG: holiday photo/vacation photo - Urlaubsbild is a photo from a holiday, not a furlough idea.
603. die Vakzine | vaccine | OK
604. die Varianz | difference/variance | OK
605. der Vatertag | Father's Day | OK
606. die Verbandsliga | association league | OK
607. das Verbraucherverhalten | consumer behavior | OK
608. die Verbrühung | scald/scalding | OK
609. das Verderben | ruin/spoilage/undoing | OK
610. die Vereinsgründung | association establishment | IMPROVE: founding of the association - Vereinsgr?ndung is the founding of an association or club.
611. die Vereisung | glaciation/icing | OK
612. die Vererbung | heredity/inheritance | OK
613. die Verfassungsmäßigkeit | constitutionality | OK
614. das Vergabekriterium | award criterion | OK
615. die Geowissenschaft | earth science | OK
616. die Vergeltung | nemesis/payback/quittance | OK
617. der Vergnügungspark | amusement park | OK
618. die Verharmlosung | downplaying/trivialisation | OK
619. die Verkaufsaktion | sales promotion | OK
620. der Verkehrsbereich | traffic area | IMPROVE: transport sector/traffic area - Verkehrsbereich is usually the transport or traffic sector, not just an area.
621. die Verkehrseinrichtung | traffic facility | OK
622. das Verkehrsgeschehen | communication happening | WRONG: traffic situation/traffic events - Verkehrsgeschehen means what is happening in traffic, not communication happening.
623. die Verkehrsteilnehmerin | communication participant | WRONG: road user (female) - Verkehrsteilnehmerin is a female road user, not a communication participant.
624. die Verkehrszählung | traffic count | OK
625. die Verkettung | linkage/concatenation | OK
626. das Gesamtgewicht | weight | IMPROVE: total weight - Gesamtgewicht is specifically total weight, not weight in general.
627. die Verlegerin | publisher (female) | OK
628. die Verletzlichkeit | vulnerability | OK
629. die Gesundheitsgefahr | health danger | OK
630. die Gewebeprobe | tissue sample | OK
631. die Verschleierung | concealment | OK
632. der Verschwörungstheoretiker | conspiracy theorist | OK
633. der Versicherungsschein | insurance policy/insurance certificate | OK
634. der Versorgungsausgleich | pension equalization | OK
635. die Verstaatlichung | nationalisation | OK
636. das Verursacherprinzip | principle | WRONG: polluter-pays principle - Verursacherprinzip is the principle that the responsible polluter pays.
637. die Verve | verve | OK
638. die Verwirbelung | swirl effect/turbulence | OK
639. die Verwirrtheit | confusion | OK
640. der Veterinär | vet/veterinarian | OK
641. der Videoschnitt | video editing | OK
642. der Viehzüchter | livestock breeder | OK
643. das Villenviertel | mansion district | OK
644. die Viruserkrankung | viral infection | OK
645. der Vizeweltmeister | world champion | WRONG: world championship runner-up - Vizeweltmeister is the runner-up, not the world champion.
646. die Vogelbeere | rowan/rowan berry | OK
647. das Vogelfutter | bird feed | OK
648. die Vogelgrippe | avian influenza/bird flu | OK
649. das Vogelhaus | birdhouse | OK
650. das Vogelnest | bird's nest | OK
651. die Völkerkunde | ethnology | OK
652. die Volksvertretung | folk agency | WRONG: representative body/representation of the people - Volksvertretung is political representation, not a folk agency.
653. das Völlegefühl | bloating | OK
654. das Vollkorn | whole grain/wholemeal | OK
655. die Vollversorgung | full supply/full care | OK
656. der Volumenstrom | volume flow/volumetric flow rate | OK
657. das Vorankommen | progress/progression | OK
658. der Vorarbeiter | worker | WRONG: foreman - Vorarbeiter is a lead worker or foreman, not worker in general.
659. die Vorbemerkung | annotation | IMPROVE: preliminary remark - Vorbemerkung is an introductory note, not a generic annotation.
660. die Vorbesprechung | preliminary discussions | OK
661. die Vorhaltung | keeping available/provision | OK
662. der Vormieter | previous tenant | OK
663. der Vorsteher | head/chairperson | OK
664. das Vorzimmer | entrance hall | OK
665. die Vulkaninsel | volcano island | IMPROVE: volcanic island - Vulkaninsel is naturally rendered volcanic island.
666. der Vulkanismus | volcanism/vulcanism | OK
667. das Wachstumshormon | growth hormone | OK
668. der Wachstumsschub | growth acute phase | WRONG: growth spurt - Wachstumsschub is a growth spurt, not an acute phase.
669. das Waffenrecht | weapons law/firearms law | OK
670. die Waffenruhe | ceasefire/truce | OK
671. die Waldbrandgefahr | risk of forest fires | OK
672. die Waldgesellschaft | forest company | WRONG: forest community - Waldgesellschaft is an ecological forest community, not a company.
673. das Walking | speed walking | OK
674. der Wanderpokal | challenge cup | OK
675. die Wäscheklammer | clothes peg/clothespin | OK
676. das Waschhaus | washhouse/laundry | OK
677. der Waschlappen | flannel/sissy/softy | OK
678. der Wasserballer | water polo player | OK
679. der Wasserdruck | water pressing | WRONG: water pressure - Wasserdruck is water pressure, not pressing.
680. das Wassermolekül | water molecule | OK
681. die Wasserpumpe | water pump | OK
682. die Wasserressource | water resource | OK
683. der Wasserschutz | water protection | OK
684. das Wasserstoffperoxid | hydrogen peroxide | OK
685. der Wasserstrahl | jet of water/water jet | OK
686. der Wassertropfen | drop of water/waterdrop | OK
687. die Wasserverschmutzung | water contamination/water pollution | OK
688. das Weib | woman/wife (dated/derogatory) | OK
689. die Weiberfastnacht | Fat Thursday | WRONG: Women's Carnival/Shrove Thursday - Weiberfastnacht is the carnival Thursday, not the general term Fat Thursday.
690. die Weiblichkeit | femininity | OK
691. die Weidefläche | pasture | OK
692. das Weinblatt | vine leaf | OK
693. der Weinliebhaber | wine lover | OK
694. die Weinregion | grape area | WRONG: wine region - Weinregion means a wine-growing region, not a grape area.
695. der Weißabgleich | white balance | OK
696. das Weißbrot | white bread | OK
697. der Weißdorn | hawthorn | OK
698. der Weltkonzern | Earth combine | WRONG: global corporation - Weltkonzern is a multinational/global corporation, not an Earth combine.
699. die Weltraumorganisation | space organisation | OK
700. die Werbetrommel | drum | WRONG: publicity campaign/advertising drive - Werbetrommel refers to promotion or publicity, not just a drum.
701. der Werkraum | workroom | OK
702. der Westwind | west wind | OK
703. das Wettbüro | bet bureau | WRONG: betting shop - Wettb?ro is a betting office or shop, not a bet bureau.
704. das Wetterextrem | extreme weather event | OK
705. die Wetterkarte | weather map | OK
706. das Wettrennen | bet race | WRONG: race - Wettrennen is a race, not a bet race.
707. die Widersprüchlichkeit | contradictoriness | OK
708. der Wiederkäuer | ruminant | OK
709. der Wildbestand | game existence | WRONG: game population/wildlife population - Wildbestand means the stock of wild animals, not game existence.
710. die Willensstärke | volition amylum | WRONG: willpower - Willensst?rke means strength of will, not volition starch.
711. der Wimpel | pennant | OK
712. der Windkanal | wind tunnel | OK
713. die Windstärke | wind speed | OK
714. der Wink | wave | WRONG: hint/signal - Wink as a noun means a hint or signal; wave would be Winken.
715. das Winterfell | winter fur | OK
716. der Winterurlaub | winter holiday | OK
717. die Wirtschaftsbeziehung | economics affair | WRONG: economic relationship - Wirtschaftsbeziehung is an economic relationship, not an economics affair.
718. die Wirtschaftsgemeinschaft | economics community | WRONG: economic community - Wirtschaftsgemeinschaft is an economic community, not an economics community.
719. die Wirtschaftsordnung | economic system | OK
720. die Wissenschaftsgeschichte | history of science | OK
721. der Wohnbezirk | borough | IMPROVE: residential district - Wohnbezirk is a residential district; borough is a broader administrative term.
722. die Wohnungsbaugenossenschaft | housing cooperative | OK
723. der Wohnungswechsel | accommodation bill of exchange | WRONG: change of residence/move - Wohnungswechsel means moving from one residence to another, not a bill of exchange.
724. der Wok | wok | OK
725. die Worthülse | catchword/empty phrase/empty word shell | OK
726. der Wortsinn | literal meaning | OK
727. die Wunderwaffe | wonder weapon | OK
728. der Wunschtraum | request dream | WRONG: cherished dream/wishful dream - Wunschtraum is a dream or fantasy one wishes for, not a request dream.
729. der Wuppertaler | person from Wuppertal/Wuppertal native | OK
730. der Xylit | xylitol | OK
731. das Yard | yard | OK
732. die Zacke | peak/point/tine | OK
733. das Zahlenwerk | count act | WRONG: set of figures/figures - Zahlenwerk means a body of numbers or figures, not count act.
734. die Zahlungsmodalität | payment terms | OK
735. der Zahnschmerz | toothache | OK
736. das Zäpfchen | suppository | OK
737. die Zarge | apron/bezel/case | OK
738. der Zauberstab | magic wand | OK
739. die Zauneidechse | sand lizard | OK
740. der Zaunkönig | wren | OK
741. die Zeichenkette | string | OK
742. die Zeitbombe | clockwork bomb/time bomb | OK
743. die Zeiteinteilung | time classification | WRONG: time management/scheduling - Zeiteinteilung is the allocation or management of time, not classification.
744. die Zeitmaschine | time machine | OK
745. der Wettlauf | race | OK
746. die Graphik | graphic/chart | OK
747. der Zelltod | cell death | OK
748. die Zellwand | cell wall | OK
749. die Zentrifuge | centrifuge/separator | OK
750. die Zeugung | fathering/procreation | OK
751. der Zeus | Zeus | OK
752. der Zielflughafen | aim airport | WRONG: destination airport - Zielflughafen is the airport of destination, not an aim airport.
753. die Zielsprache | target language | OK
754. die Zierde | decoration/ornament | OK
755. der Zigarettenkonsum | cigarette consumption | OK
756. der Zimmerservice | room service | OK
757. die Zisterne | cistern/cisterna | OK
758. die Zitronensäure | citric acid | OK
759. die Zollunion | customs union | OK
760. der Zoologe | zoologist | OK
761. das Zubehörteil | accessory item | OK
762. die Zuckerwatte | candy floss/candyfloss/cotton candy | OK
763. der Zügel | rein | OK
764. die Zugkraft | tractive force/pulling power | OK
765. der Zungenbrecher | tongue twister | OK
766. die Zusammenschau | exhibition | WRONG: synopsis/overview - Zusammenschau is a summary overview or synthesis, not an exhibition.
767. das Zusammensein | being | WRONG: togetherness/being together - Zusammensein means being together, not being in general.
768. die Zwangsverheiratung | forced marriage | OK
769. der Zweier | two (number/pair) | OK
770. das Zweierteam | two team | WRONG: team of two - Zweierteam is a two-person team, not a two team.
771. das Zweitstudium | studies | WRONG: second degree programme/second course of study - Zweitstudium means an additional course of study, not studies in general.
772. der Zweitwagen | Dipper | WRONG: second car - Zweitwagen is an additional car, not a dipper.
773. die Zwergziege | dwarf goat | OK
774. der Zwillingsbruder | fraternal twin/twin brother | OK
775. die Zwischenlösung | answer | WRONG: interim solution - Zwischenl?sung is a temporary solution, not an answer.
776. die Zystis | cyst | OK
777. der Aachener | Aachener | IMPROVE: person from Aachen - The gloss leaves the German demonym untranslated.
778. die Abänderung | alteration/change | OK
779. der Abbauprozess | breakdown process/degradation process/destruction process | OK
780. der Abendsegler | noctule bat | OK
781. das Aber | but | OK
782. die Abfalltonne | waste bin | OK
783. der Abfuhrtag | rebuff day | WRONG: collection day - Abfuhrtag is the day waste is collected, not a rebuff day.
784. der Abgabetermin | date of delivery/deadline | OK
785. das Abgangszeugnis | diploma/leaving certificate | OK
786. der Abhängige | dependent/addict | OK
787. der Ablehnungsbescheid | rejection letter | OK
788. das Abschlusstraining | final training | OK
789. die Absolventenfeier | graduate ceremony | OK
790. die Abstützung | support/bracing | OK
791. die Abwasserreinigung | wastewater treatment | OK
792. die Abwendung | desinence | WRONG: averting/prevention - Abwendung is the act of averting something, not a grammatical desinence.
793. der Abzocker | swindler | OK
794. die Achillessehne | Achilles tendon | OK
795. der Actionheld | action hero | OK
796. der Aderlass | bloodletting/phlebotomy | OK
797. die Adressatin | satin | WRONG: addressee (female) - Adressatin is a female recipient or addressee, not satin.
798. das Adverbium | adverb | OK
799. die Agitation | agitation | OK
800. die Agrarwende | agricultural transition | OK
801. der Akkumulator | rechargeable battery/storage battery/storage cell | OK
802. das Grau | grey | OK
803. die Akribie | meticulousness | OK
804. der Aktienkauf | share purchase | OK
805. die Aktionsform | action form | OK
806. die Alarmstufe | alarm level | OK
807. der Albumtitel | album title | OK
808. das Alibi | alibi | OK
809. der Alkoholmissbrauch | alcohol abuse | OK
810. das Alleinsein | being | WRONG: being alone/solitude - Alleinsein means being alone, not being in general.
811. der Allergietest | allergy check | WRONG: allergy test - Allergietest is a test for allergies, not a check in general.
812. der Allgemeinarzt | doc | WRONG: general practitioner - Allgemeinarzt is a GP, not the colloquial word doc.
813. die Allmacht | omnipotence | OK
814. der Alltagsrassismus | everyday life racialism | WRONG: everyday racism - Alltagsrassismus is everyday racism, not racialism.
815. das Altenpflegeheim | nursing home for the elderly | OK
816. der Greif | griffin/gryphon | OK
817. das Alttier | adult animal/old animal | OK
818. die Alveole | alveole/teethridge | OK
819. der Amboss | anvil/incus | OK
820. das Amen | amen | OK
821. der Amiga | Amiga | OK
822. die Amöbe | ameba/amoeba/amœba | OK
823. der Amtssitz | office/official residence | OK
824. das Anabolikum | anabolic steroid | OK
825. der Analbereich | area | WRONG: anal area - Analbereich means the anal area, not area in general.
826. der Anbruch | advent/dawn/dawning | OK
827. das Anfangskapital | initial capital | OK
828. der Anfangsverdacht | initial suspicion | OK
829. der Anglizismus | anglicism | OK
830. das Angstgefühl | anxiety affection | WRONG: feeling of anxiety - Angstgef?hl is a feeling of fear or anxiety, not an affection.
831. die Ängstlichkeit | anxiousness | OK
832. das Anion | anion | OK
833. die Annullierung | annulment | OK
834. die Anode | anode | OK
835. die Anorexie | anorexia/anorexia nervosa | OK
836. der Gutshof | estate corona | WRONG: manor/estate - Gutshof is a manor farm or estate, not estate corona.
837. die Ansteckungsgefahr | contagion danger | WRONG: risk of infection - Ansteckungsgefahr means risk of infection, not contagion danger.
838. der Antiziganismus | jam | WRONG: anti-Roma racism/antiziganism - Antiziganismus is discrimination against Roma and Sinti, not jam.
839. der Apfelmus | apple sauce/applesauce | OK
840. der Apfelwein | cider | OK
841. das Applet | applet | OK
842. die Äquivalenz | equivalence | OK
843. die Arbeiterpartei | labour party | OK
844. die Arbeiterschaft | workforce/working class | OK
845. der Arbeitgebervertreter | employer agent | WRONG: employer representative - Arbeitgebervertreter represents employers, not an employer agent.
846. der Arbeitsgeber | employer | OK
847. das Arbeitsziel | work target | OK
848. das Archivieren | archiving | OK
849. der Arztberuf | medical profession | OK
850. der As | as/ace | OK
851. das Aschenputtel | Cinderella | OK
852. die Ascorbinsäure | ascorbic acid | OK
853. die Assel | pill bug/slater/woodlouse | OK
854. der Asthmatiker | asthmatic | OK
855. das Ästuar | estuary | OK
856. der Haarausfall | hair loss | OK
857. das Asylbewerberheim | asylum seeker asylum | WRONG: asylum-seeker accommodation/home - Asylbewerberheim is accommodation for asylum seekers, not an asylum.
858. die Atemfrequenz | respiratory rate | OK
859. die Atempause | breather | OK
860. die Atemwegsinfektion | respiratory tract infection | OK
861. das Atommodell | atom model/atomic model | OK
862. der Atommüll | nuclear waste/radioactive waste | OK
863. die Attrappe | dummy/mock-up/mockup | OK
864. die Audienz | audience | OK
865. die Aufbauarbeit | development work/reconstruction work | OK
866. die Aufbruchsstimmung | departure humour | WRONG: spirit of optimism - Aufbruchsstimmung is a mood of new departure or optimism, not departure humour.
867. der Auffangbehälter | collecting container/catch container | OK
868. die Aufführungspraxis | performance practice | OK
869. die Aufgabenerledigung | task completion | OK
870. die Aufhellung | lightening/clarification | OK
871. das Aufmaß | measurement/take-off (construction) | OK
872. der Aufseher | guard/invigilator/overseer | OK
873. der Aufständische | insurgent | OK
874. die Augenbewegung | eye movement | OK
875. der Augenkontakt | eye contact | OK
876. die Ausatmung | expiration | OK
877. die Ausbesserung | correction/repair/touch up | OK
878. die Ausbuchtung | bulge/convexity/salient | OK
879. die Ausdrucksstärke | expressiveness | OK
880. der Ausleger | cantilever/exegete/jib | OK
881. der Ausrüstungsgegenstand | piece of equipment | OK
882. die Ausschabung | curettage | OK
883. der Ausschussvorsitzende | chairman of the committee/committee chair/committee chairman | OK
884. die Außenansicht | elevation | IMPROVE: exterior view - "Elevation" is a technical architectural term; exterior view is clearer for learners.
885. die Außentreppe | exterior staircase | OK
886. die Halde | heap/spoil tip | OK
887. der Ausstellungsbesucher | exhibition visitor | OK
888. die Autobahnbrücke | highway bridge/motorway bridge | OK
889. der Automobilkonzern | auto combine | WRONG: automotive group - Automobilkonzern is a large automotive corporation, not an auto combine.
890. der Autopilot | automatic pilot/autopilot | OK
891. der Autoschlüssel | car key | OK
892. die Badeanstalt | bath | WRONG: public bath/swimming pool - Badeanstalt is a public bathing facility, not a bath tub.
893. das Badehaus | bathhouse | OK
894. das Badetuch | bath towel | OK
895. die Bahnunterführung | railway underpass/subway/underpass | OK
896. der Bakterienstamm | bacterial strain | OK
897. das Bällebad | ball pit | OK
898. der Ballverlust | turnover | OK
899. die Banderole | wrapper/seal | OK
900. die Bange | fear | OK
901. der Bankangestellte | bank employee | OK
902. der Bariton | baritone | OK
903. die Barkasse | launch | OK
904. der Basispunkt | basis point | OK
905. die Bauabnahme | building acceptance/final inspection | OK
906. das Bauholz | lumber/timber | OK
907. der Bauklotz | building brick | OK
908. der Baumwollstoff | cotton fabric/scrim | OK
909. der Bauschaden | build-harm | WRONG: building damage/structural damage - Bauschaden is damage to a building, not build-harm.
910. die Befangenheit | bias/prejudice/timidity | OK
911. die Befestigungsanlage | fortification | OK
912. die Befolgung | compliance | OK
913. das Beförderungsmittel | means of transport | OK
914. die Behindertentoilette | disabled toilet | OK
915. die Beifügung | addendum | OK
916. der Beinbruch | bone breach | WRONG: broken leg - Beinbruch is a leg fracture, not a bone breach.
917. die Beisitzerin | associate judge/assessor (female) | OK
918. die Beitrittserklärung | application for membership | OK
919. das Beiwerk | accessory | OK
920. das Bekunden | expression/declaration | OK
921. der Benediktiner | Benedictine/Order of Saint Benedict | OK
922. die Bergstraße | mountain road | OK
923. der Berufskollege | professional colleague | OK
924. der Berufsrichter | professional judge | OK
925. die Berufsunfähigkeitsrente | occupational disability pension | OK
926. das Berufsverbot | occupational ban/professional ban | OK
927. die Beschuldigung | accusation | OK
928. die Besichtigungstour | inspection tour | IMPROVE: sightseeing tour - Besichtigungstour is usually a tour to view sights or premises; inspection tour sounds too official.
929. der Betonboden | concrete floor | OK
930. der Betonmauer | concrete wall | OK
931. die Betonplatte | concrete slab | OK
932. der Betreuungsschlüssel | care key | WRONG: caregiver ratio/staff-to-child ratio - Betreuungsschl?ssel is a staffing ratio, not a key.
933. die Betriebsratswahl | works council adoption | WRONG: works council election - Betriebsratswahl is the election of a works council, not adoption.
934. der Bevölkerungsanteil | population portion | WRONG: population share - Bev?lkerungsanteil is a share of the population, not a portion in general.
935. die Bevölkerungsstruktur | population structure | OK
936. die Bevorratung | procurement/provisioning/stockage | OK
937. die Beweislage | evidentiary situation/state of evidence | OK
938. das Beweismaterial | evidence material | IMPROVE: evidence - Beweismaterial is simply evidence; "evidence material" is unnatural.
939. der Bewusstseinszustand | awareness state/state of consciousness | OK
940. die Bezirksbürgermeisterin | borough mayor | OK
941. der Bielefelder | person from Bielefeld | OK
942. das Bienenwachs | beeswax | OK
943. der Bierkeller | ale basement | WRONG: beer cellar - Bierkeller is a beer cellar or beer garden, not an ale basement.
944. die Bildersammlung | idea collection | WRONG: picture collection - Bildersammlung is a collection of pictures, not ideas.
945. die Bildidee | picture idea/image idea | OK
946. die Bildmarke | logo | OK
947. das Bildschirmfoto | screenshot | OK
948. die Bildungsreise | educational journey/educational trip | OK
949. der Bindfaden | packthread/twine | OK
950. das Bingo | bingo | OK
951. das Bioethanol | ethanol | WRONG: bioethanol - Bioethanol is a specific biofuel, not ethanol in general.
952. die Bioethik | ethics | WRONG: bioethics - Bioethik is bioethics, not ethics in general.
953. der Biorhythmus | rhythm | WRONG: biorhythm - Biorhythmus is a biorhythm, not rhythm in general.
954. die Bischofssynode | bishop ecclesiastical council | WRONG: Synod of Bishops - Bischofssynode is a bishops synod, not an ecclesiastical council in general.
955. der Blasenkatheter | bladder catheter | OK
956. das Hängen | hanging | OK
957. die Blasphemie | blasphemy | OK
958. das Blätterdach | roof | WRONG: leaf canopy - Bl?tterdach is a canopy of leaves, not a roof in general.
959. der Blätterteig | flaky pastry/puff paste/puff pastry | OK
960. das Blattgemüse | leafy vegetables | OK
961. die Blauzungenkrankheit | bluetongue | OK
962. die Blessur | lesion/war injury/wound | OK
963. der Blindenführhund | canidae | WRONG: guide dog for the blind - Blindenf?hrhund is a guide dog, not the animal family Canidae.
964. der Blindenhund | guide dog | OK
965. der Blitzeinschlag | flash element | WRONG: lightning strike - Blitzeinschlag is a lightning strike, not a flash element.
966. das Blitzlicht | flashlight/photoflash | IMPROVE: flash/photographic flash - In American English, flashlight usually means Taschenlampe; Blitzlicht is a camera flash.
967. das Blockhaus | blockhouse/log cabin/log home | OK
968. die Blumenrabatte | flower bed/flower border | OK
969. das Blütenmeer | bloom lake | WRONG: sea of flowers - Bl?tenmeer is a mass or sea of blossoms, not a bloom lake.
970. das Blutplasma | blood plasma | OK
971. das Bodendenkmal | archaeological monument/ground monument | OK
972. die Bodenfruchtbarkeit | soil fertility | OK
973. der Bohlenweg | boardwalk/plank path | OK
974. der Bohrkern | core sample | OK
975. der Bonner | person from Bonn | OK
976. das Bordmittel | shelf average | WRONG: on-board resources/available means - Bordmittel are resources available on board or in-house, not a shelf average.
977. das Branchenmagazin | branch depository | WRONG: industry magazine/trade magazine - Branchenmagazin is a trade or industry magazine, not a branch depository.
978. die Brandbombe | incendiary bomb | OK
979. der Bräter | roasting pan | OK
980. die Bratsche | viola | OK
981. der Braune | brown one; bay horse | OK
982. die Bredouille | predicament/quandary | OK
983. das Brennglas | burning glass | OK
984. das Brennmaterial | fuel | OK
985. der Brieffreund | pen pal/penfriend | OK
986. das Wildkraut | game cabbage | WRONG: wild herb/weed - Wildkraut means a wild herb or weed, not game cabbage.
987. der Brutkasten | incubator | OK
988. der Wintersportler | winter sports athlete | OK
989. die Buchautorin | book author | OK
990. die Büchersammlung | book collection | OK
991. der Bücherwurm | bookworm | OK
992. der Buchweizen | buckwheat | OK
993. die Buddel | bottle | OK
994. der Bühnenbildner | set designer/stage designer | OK
995. der Bulgur | bulgur | OK
996. der Bumerang | boomerang | OK
997. das Bundesgericht | federal court | OK
998. der Bundeswehrsoldat | German Federal Armed Forces soldier | OK
999. die Bürgernähe | bourgeois closeness | WRONG: closeness to citizens/citizen-friendliness - B?rgern?he means being close or responsive to citizens, not bourgeois closeness.
1000. die Bürgerschaftswahl | metropolitan council election | WRONG: state parliament election (Hamburg/Bremen) - B?rgerschaftswahl is an election to a city-state parliament, not a metropolitan council election.
