1. der Rücksitz | back-seat | IMPROVE: back seat - The noun is normally written as 'back seat'; 'back-seat' is mainly adjectival.
528. der Internetkonzern | Internet combine | WRONG: internet company/tech group - Konzern is a corporate group, not a combine in learner English.
529. die Inzidenz | incidence | OK
530. der Isländer | Icelander/icelandic horse | OK
531. die Jahresfrist | annual deadline/one-year period | OK
532. der Jahrgangsbeste | top of the class/valedictorian | OK
533. die Jahrhundertwende | turn of the century | OK
534. der Jobsuchende | job seeker | OK
535. das Kaff | dump/hicksville | OK
536. die Kakaobohne | cocoa bean | OK
537. der Monolog | monologue | OK
538. die Fachärztin | specialist | IMPROVE: medical specialist (female) - Fach?rztin specifically means a female specialist doctor.
539. die Fachsprache | technical jargon/technical language | OK
540. die Kantate | cantata | OK
541. der Kanute | canoeist | OK
542. der Karpfen | carp | OK
543. das Kartellrecht | antitrust law/cartel law/monopolies law | OK
544. das Kaufangebot | purchase offer | OK
545. der Kernbestandteil | core component | OK
546. das Kerosin | jet fuel/kerosene | OK
547. der Kescher | dip net/hand net/landing net | OK
548. der Kiel | careen/keel/quill | IMPROVE: keel - Kiel primarily means keel; extra senses make the learner gloss noisy.
549. der Kieler | person from Kiel | OK
550. der Fachwirt | certified specialist/business administrator | OK
551. das Kinderdorf | child village | IMPROVE: children's village - Kinderdorf is idiomatically a children's village.
552. der Fahrstreifen | lane | OK
553. das Kirchenschiff | nave | OK
554. der Klerus | clergy | OK
555. die Klientin | client (female) | OK
556. die Klimakatastrophe | climate disaster | OK
557. die Klimakonferenz | climate conference | OK
558. die Klugheit | prudence | OK
559. der Knaller | firecracker | OK
560. der Knick | kink/bend | OK
561. die Kochkunst | cookery | OK
562. der Kochlöffel | cooking spoon/wooden spoon | OK
563. der Kode | code | OK
564. die Kodierung | codification/coding/encoding | OK
565. die Kokerei | coking plant | OK
566. das Kokosöl | coconut oil | OK
567. der Komplementär | general partner | OK
568. der Könner | expert/master | OK
569. der Konsul | consul | OK
570. das Kontrollzentrum | control centre | OK
571. die Konversion | conversion | OK
572. der Konzertbesucher | concert patron | OK
573. die Konzession | admission/concession/licence | OK
574. der Kopfball | header | OK
575. das Kopfkissen | pillow | OK
576. das Kopfsteinpflaster | cobblestone pavement | OK
577. die Körperfunktion | bodily function | OK
578. der Falter | butterfly | OK
579. der Kreditzins | credit interest | OK
580. die Kriegszeit | wartime | OK
581. der Krippenplatz | daycare place/nursery place | OK
582. die Kulinarik | cuisine | OK
583. der Kultstatus | cult state | WRONG: cult status - Status means status, not state in this phrase.
584. die Kulturtechnik | cultural equipment | WRONG: cultural technique/basic cultural skill - Kulturtechnik is a learned cultural skill, not equipment.
585. der Künstlername | pen name/pseudonym | IMPROVE: stage name/artist name/pseudonym - K?nstlername is usually an artist's or stage name.
586. die Kunststoffverarbeitung | plastic processing | OK
587. die Kuriosität | curiosity | OK
588. die Kurzsichtigkeit | myopia/near-sightedness/short-sightedness | OK
589. die Küstennähe | proximity to the coast/coastal proximity | OK
590. der Labortest | lab check | IMPROVE: lab test/laboratory test - Test is test; 'check' is less precise.
591. die Laktoseintoleranz | lactose intolerance | OK
592. die Lamelle | fin | OK
593. der Landesmeister | country champion | WRONG: state champion/regional champion - Land refers to a German federal state or region, not necessarily a country.
594. die Landmaschine | farm machine | OK
595. der Landsmann | compatriot | OK
596. die Landsmannschaft | homeland association | OK
597. der Langfinger | sticky fingers | IMPROVE: thief/pickpocket - Langfinger is an idiom for a thief.
598. die Lärche | larch | OK
599. das Lastenheft | requirement specification | OK
600. die Lebenshaltung | standard of living | OK
601. die Lebensleistung | life benefit | WRONG: lifetime achievement/life's work - Leistung means achievement here, not benefit.
602. der Lebensmittelmarkt | food market | OK
603. das Monopol | monopoly | OK
604. der Lehrbetrieb | apprenticeship business | IMPROVE: training company/teaching operations - Lehrbetrieb usually means the company providing apprenticeship training.
605. der Lenz | spring | OK
606. die Leuchtstoffröhre | fluorescent tube/luminescent tube | OK
607. das Liebesleben | love life | OK
608. die Fehlgeburt | abortion/miscarriage/spontaneous abortion | IMPROVE: miscarriage - Fehlgeburt primarily means miscarriage; 'abortion' alone suggests Abtreibung.
609. der Linksextremist | link extremist | WRONG: left-wing extremist - Links means left-wing here, not link.
610. der Listenpreis | catalogue price/scheduled price | OK
611. der Literaturpreis | literature prize | OK
612. die Lok | loco/locomotive | OK
613. der Lokschuppen | loco joint | WRONG: locomotive shed/engine shed - Schuppen means shed, not joint.
614. das Lot | lead line/plumb line/plummet | OK
615. die Luftaufnahme | air photograph | IMPROVE: aerial photograph/aerial shot - Luftaufnahme is the standard word for an aerial photo.
616. die Luftblase | air pocket/bleb/bubble | OK
617. der Luftraum | airspace | OK
618. die Lungenembolie | pulmonary embolism | OK
619. der Fernverkehr | long-distance traffic | OK
620. der Morbus | disease | OK
621. die Machtübernahme | takeover of power | OK
622. die Magersucht | anorexia nervosa | OK
623. der Magister | magister | OK
624. der Mangold | Swiss chard/chard/mangold | OK
625. die Manifestation | manifestation | OK
626. der Marktstand | market stall | OK
627. das Markttreiben | market hustle and bustle | OK
628. der Märtyrer | martyr | OK
629. die Maserung | grain/texture | OK
630. der Masseur | masseur | OK
631. der Maßnahmenkatalog | catalogue of measures/action plan | OK
632. die Materialwissenschaft | material academic discipline | WRONG: materials science - Materialwissenschaft is the scientific field of materials science.
633. die Matinee | matinee | OK
634. der Maurer | bricklayer/mason | OK
635. der Mäusebussard | common buzzard | OK
636. der Maximalwert | maximum value | OK
637. die Mayonnaise | mayonnaise | OK
638. der Medienkonzern | media conglomerate/media corporation/media group | OK
639. die Medienpolitik | media policy | OK
640. der Mehltau | mildew | OK
641. das Meisterstück | masterpiece | OK
642. das Mekka | Mecca | OK
643. die Menstruation | menstruation | OK
644. die Menstruationstasse | menstrual cup | OK
645. der Met | mead | OK
646. die Mietkosten | rental costs | OK
647. die Mietminderung | rent reduction | OK
648. die Migrationspolitik | migration policy | OK
649. der Mikrochip | microchip | OK
650. der Milchzucker | lactose/milk sugar | OK
651. der Militärdienst | military service | OK
652. das Minarett | minaret | OK
653. der Minibus | minibus | OK
654. der MIT | MIT (Massachusetts Institute of Technology) | OK
655. die Mitschuld | complicity | OK
656. der Mittäter | accessory/accomplice | OK
657. die Modernität | modernity | OK
658. der Montagvormittag | Monday forenoon | IMPROVE: Monday morning - Vormittag is the morning before noon; 'forenoon' is uncommon.
659. der Mumps | mumps | OK
660. der Mundgeruch | bad breath/halitosis | OK
661. die Mundhöhle | oral cavity | OK
662. die Musikindustrie | music business/music industry | OK
663. der Müsliriegel | cereal bar/chewy bar/muesli bar | OK
664. das Musterbeispiel | prime example/model example | OK
665. der Nabel | navel | OK
666. die Nachrichtensendung | news | IMPROVE: news broadcast/news program - The compound refers to a broadcast or program, not news in general.
667. der Nachtclub | nightclub | OK
668. die Finanzwirtschaft | financial sector | OK
669. die Naturgewalt | nature authority | WRONG: force of nature/natural force - Gewalt means force here, not authority.
670. das Neubauprojekt | new building project | OK
671. die Neuware | new goods | OK
672. die Multiplikation | multiplication | OK
673. die Nötigung | coercion/compulsion/duress | OK
674. der Notstand | state of emergency | OK
675. die Obduktion | autopsy/post mortem/postmortem | OK
676. das Oberflächenwasser | surface water | OK
677. der Oberst | colonel | OK
678. das Off | the off (in 'aus dem Off') | OK
679. die Operette | operetta | OK
680. das Opferfest | casualty celebration | WRONG: Eid al-Adha/Festival of Sacrifice - Opferfest is the Islamic Festival of Sacrifice, not a casualty celebration.
681. die Oppositionspartei | opposition party | OK
682. der Organspender | organ donor | OK
683. die Flanke | cross/edge/flank | OK
684. das Ortsbild | townscape | OK
685. der Ostseeraum | Baltic Sea region | OK
686. der Packen | bundle/stack | OK
687. der Paintball | paintball | OK
688. die Fluchtursache | alignement cause | WRONG: cause of flight/reason for fleeing - Flucht means flight or fleeing; Ursache is cause.
689. die Musikgeschichte | historical musicology/history of music/music history | OK
690. der Parkour | parkour | OK
691. der Parmesan | parmesan cheese/Parmesan | OK
692. der Pensionsfonds | pension bond | WRONG: pension fund - Fonds is a fund, not a bond.
693. der Pfennig | pfennig | OK
694. der Pfingstsonntag | Pentecost/Whit Sunday/Whitsun | OK
695. das Pflanzenwachstum | plant growth | OK
696. das Pflegemittel | care products | OK
697. der Pflug | plough | OK
698. die Pinakothek | pinacotheca | IMPROVE: art gallery/picture gallery - Pinakothek is a picture gallery; the cognate is too rare for learners.
699. die Plage | plague/scourge | OK
700. der Platzmangel | lack of space | OK
701. der Pogrom | pogrom | OK
702. der Pokalsieger | cup winner | OK
703. das Pokalspiel | cup game | OK
704. der Polyp | polyp | OK
705. die Fossilie | fossil | OK
706. der Poststempel | postmark/postmarking device | OK
707. die Preisspanne | price range | OK
708. das Pressefoto | press photo | OK
709. der Pressevertreter | representative of the press | OK
710. das Naturkundemuseum | museum of natural history/natural history museum | OK
711. die Primzahl | prime/prime number | OK
712. der Produktname | product name | OK
713. der Projektteilnehmer | project participant | OK
714. die Provenienz | provenance | OK
715. der Quadratmeterpreis | square metre price | OK
716. der Qualm | (dense, thick) smoke | OK
717. der Quantensprung | breakthrough/giant stride/quantum jump | OK
718. die Quellensteuer | PAYE/pay as you earn/withholding tax | OK
719. das Nebenprodukt | by-product | OK
720. der Radsport | cycling | OK
721. der Raser | speeder | OK
722. die Rechtspflege | administration of justice | OK
723. das Rechtsverhältnis | law background | WRONG: legal relationship - Rechtsverh?ltnis is a legal relation between parties.
724. der Recke | warrior | OK
725. die Regelblutung | period bleeding | IMPROVE: menstrual period/menstruation - This is the normal term for menstrual bleeding.
726. der Regelverstoß | rule violation | OK
727. der Regentropfen | raindrop | OK
728. das Regiment | regiment | OK
729. der Reichsbürger | Reichsbürger/member of the Reichsbürger movement | OK
730. die Reiseroute | itinerary/travel route | OK
731. die Rekordzeit | record time | OK
732. das Relais | relay | OK
733. die Relativitätstheorie | theory of relativity | OK
734. das Repräsentantenhaus | house of representatives | OK
735. das Reservoir | reservoir | OK
736. die Residenzstadt | residence centre | IMPROVE: residential capital/seat of a ruler - Residenzstadt is a city that served as a ruler's residence.
737. der Rettungsassistent | paramedic | OK
738. die Riege | group/team | OK
739. das Ritalin | Ritalin | OK
740. die Rohmilch | raw milk | OK
741. die Romanik | Romanesque | OK
742. die Röntgenstrahlung | X-ray | OK
743. der Royal | royal | OK
744. die Rückenmuskulatur | back musculature | OK
745. der Rückspiegel | rear-view mirror | OK
746. der Ruderer | oar/oarsman/rower | IMPROVE: rower/oarsman - Ruderer is the person rowing; oar alone is wrong.
747. der Rumäne | Romanian | OK
748. der Saisonbeginn | start of the season | OK
749. die Samenzelle | sperm cell/spermatozoon | OK
750. die Säugetierart | mammal species | OK
751. das Schienenfahrzeug | rolling stock | OK
752. der Schiffsverkehr | shipping traffic | OK
753. das Schilf | cane/reed | OK
754. die Schlaflosigkeit | insomnia/sleeplessness | OK
755. der Schlaganfallpatient | stroke patient | OK
756. die Schlagkraft | clout | IMPROVE: striking power/effectiveness - Schlagkraft is power or effectiveness, not only social clout.
757. der Schlittschuh | ice skate | OK
758. das Schlupfloch | loophole | OK
759. das Fotoalbum | photo album | OK
760. die Schlussphase | final phase | OK
761. der Schlusspunkt | conclusion/endpoint/full stop | OK
762. die Schmerzbehandlung | ache care | WRONG: pain treatment/pain management - Schmerz means pain, and Behandlung is treatment.
763. der Frankfurter | Frankfurter (resident or sausage) | OK
764. der Schnittlauch | chive/chives | OK
765. der Schnittpunkt | intercept point/intersection/intersection point | OK
766. der Schreibfehler | pen blemish | WRONG: spelling error/typing error - Schreibfehler is an error in writing.
767. die Schulküche | school cooking | WRONG: school kitchen - Schulk?che is a kitchen at a school.
768. die Schulmedizin | school medicine | WRONG: conventional medicine - Schulmedizin means mainstream or conventional medicine.
769. die Schulpolitik | school policy | OK
770. die Schultasche | schoolbag | OK
771. die Schultüte | Schultüte/school cone | OK
772. der Schulwechsel | change of school | OK
773. das Schutzgut | protected asset/protected good | OK
774. die Fundstelle | site of discovery | OK
775. der Schwerverletzte | seriously injured person/severely injured person | OK
776. die Seebrücke | pier | OK
777. die Seeleute | lake people | WRONG: sailors/seafarers - Seeleute are people who work at sea, not lake people.
778. die Seemeile | nautical mile/sea mile | OK
779. das Seepferdchen | sea horse/seahorse | OK
780. der Neuankömmling | new arrival/newcomer | OK
781. der Seitenrand | angle edge | WRONG: margin/page margin - Seitenrand is the edge or margin of a page.
782. die Seitenstraße | angle road | WRONG: side street - Seitenstra?e means a side street, not an angle road.
783. die Seitenwand | side wall | OK
784. die Selbstjustiz | self judiciary | WRONG: vigilante justice - Selbstjustiz is taking justice into one's own hands.
785. der Serienmörder | serial killer | OK
786. der Setzling | fry/seedling | IMPROVE: seedling - The primary learner gloss is a young plant.
787. die Shoppingtour | tour | IMPROVE: shopping trip - Shoppingtour specifically means a trip to go shopping.
788. der Sicherheitsforscher | assurance explorer | WRONG: security researcher - Sicherheit means security here, and Forscher is researcher.
789. das Sideboard | sideboard | OK
790. die Skipiste | ski course | IMPROVE: ski slope/ski run - Piste is a slope or run for skiing.
791. der Smiley | smiley | OK
792. die Soap | soap (opera) | OK
793. die Solartechnik | solar technology | OK
794. der Soli | solidarity surcharge (slang)/solos | OK
795. der Solitär | solitaire | OK
796. die Sommernacht | summer night | OK
797. die Sonderschule | special needs school/special school | OK
798. das Sondierungsgespräch | exploratory discussion | OK
799. der Songtext | lyrics/songtext | OK
800. der Souverän | sovereign | OK
801. das Sparkonto | savings account | OK
802. der Sparkurs | austerity policy/austerity course | OK
803. der Spatz | sparrow | OK
804. der Speiserest | food radical | WRONG: leftover food/food scraps - Rest means remainder; Speiserest is leftover food.
805. das Spezifikum | specific feature | OK
806. das Spielangebot | game offer | IMPROVE: range of games/playing opportunities - Angebot here means available offering, not a price offer.
807. das Spielgeschehen | game happening | WRONG: course of play/action in the game - Geschehen is events or action, not 'happening' as a noun gloss.
808. die Spielidee | game idea | OK
809. die Spielkonsole | video game console | OK
810. die Spielrunde | round of play | OK
811. die Sportlichkeit | sportiness/athleticism | OK
812. der Fußballverein | football club | OK
813. das Gaming | gaming | OK
814. die Gänze | entirety | OK
815. die Spülung | rinse/flush | OK
816. die Staatsgrenze | state border/state frontier | OK
817. das Gemäuer | walls/masonry/old building | OK
818. der Städter | city dweller/town dweller/townie | OK
819. der Steig | climb/pass/steep path | OK
820. die Steilküste | steep coast | OK
821. die Sterilisation | sterilisation | OK
822. der Sternekoch | star chef | OK
823. die Stickerei | embroidery | OK
824. das Stiefkind | stepchild | OK
825. das Stottern | stammering/stuttering | OK
826. das Strafgesetz | fine act | WRONG: criminal law/penal statute - Straf- refers to criminal punishment, not a fine specifically.
827. das Strafmaß | fine degree | WRONG: sentence/penalty level - Strafma? is the severity or length of a punishment.
828. die Strafsache | fine business | WRONG: criminal case - Strafsache is a criminal matter or case.
829. die Strandpromenade | boardwalk/promenade | OK
830. die Strenge | austerity/precision/pungency | IMPROVE: strictness/severity - The primary meaning is strictness or severity.
831. die Stressbewältigung | stress coping/stress management | OK
832. der Strombedarf | power requirement/electricity demand | OK
833. der Stromschlag | electric shock | OK
834. der Strudel | strudel/vortex | OK
835. die Studi | student (slang) | OK
836. der Studienkredit | student loan | OK
837. die Stundenzahl | hour count | IMPROVE: number of hours - This is the natural English phrase for Stundenzahl.
838. die Sturmböe | stormy gust/squall | OK
839. das Subsidiaritätsprinzip | subsidiarity principle | OK
840. der Subtyp | subtype | OK
841. der Sündenbock | scapegoat | OK
842. der Synodale | synod member | OK
843. der Tabakrauch | tobacco fume | IMPROVE: tobacco smoke - Rauch is smoke, not just fumes.
844. die Tabellenkalkulation | spreadsheet | OK
845. das Tageblatt | daily paper | OK
846. die Talkrunde | talk show/discussion round | OK
847. die Tanzveranstaltung | dance | IMPROVE: dance event/dance - The compound emphasizes an organized event.
848. der Täufer | baptist | OK
849. die Teilmenge | subset | OK
850. die Teilstrecke | section of route | OK
851. die Testfahrt | test drive | OK
852. der Testfall | test case | OK
853. das Testosteron | testosterone | OK
854. der Tintenfisch | calamari/cuttle/cuttlefish | IMPROVE: squid/cuttlefish/octopus - Tintenfisch is the broader German term for cephalopods.
855. die Tischlerei | carpenter's workshop | OK
856. das Tischtennis | ping-pong/table tennis | OK
857. das Titelblatt | front page/cover | OK
858. der Totalverlust | total loss | OK
859. die Tragkraft | load-bearing capacity | OK
860. das Traumauto | dream auto | WRONG: dream car - Auto is car; 'dream auto' is not idiomatic English.
861. die Traumhochzeit | dream wedding | OK
862. das Tretboot | paddle boat/paddle-boat/paddleboat | OK
863. die Triebfeder | desire back | WRONG: driving force/motivation - Triebfeder is an idiom for a motive or driving force.
864. die Tropfsteinhöhle | dripstone cave | OK
865. der Tuner | tuner | OK
866. die Überhitzung | excessive heat/overheating/superheating | OK
867. der Umsatzrückgang | decline in sales | OK
868. der Umzugskarton | moving box | OK
869. die Umzugskosten | moving costs/relocation costs | OK
870. die Unachtsamkeit | carelessness | OK
871. das Unding | absurdity | OK
872. der Ungehorsam | disobedience | OK
873. der Unglücksfall | accident/mishap | OK
874. das Unterhemd | undershirt | OK
875. der Unternehmensgründer | company founder | OK
876. der Unterordner | subdirectory/subfolder | OK
877. der Untote | undead | OK
878. die Unwetterwarnung | severe weather warning | OK
879. der Urenkel | great-grandson | OK
880. das Vehikel | vehicle | OK
881. die Verantwortungsübernahme | responsibility appropriation | WRONG: taking responsibility/assumption of responsibility - ?bernahme is taking on something, not appropriation here.
882. der Verarbeiter | worker | IMPROVE: processor/manufacturer - Verarbeiter is someone or a firm that processes materials or goods.
883. die Verfasserin | author (female) | OK
884. die Verhaltensauffälligkeit | behavioral problem/behavioral abnormality | OK
885. der Verhandlungspartner | negotiation partner | OK
886. der Verkaufserfolg | sales success | OK
887. das Verkehrschaos | communication chaos | WRONG: traffic chaos - Verkehr means traffic here, not communication.
888. der Verkehrslärm | communication noise | WRONG: traffic noise - Verkehr means traffic here, not communication.
889. die Verkehrssicherungspflicht | traffic safety obligation/duty to maintain safety | OK
890. die Verleumdung | calumny/defamation/libel | OK
891. die Verschlusssache | administratively controlled information/classified information/privileged information | OK
892. die Verschreibung | friction | WRONG: prescription/wrong writing - Verschreibung usually means a medical prescription or a writing error, not friction.
893. das Versicherungswesen | affirmation being | WRONG: insurance industry/insurance system - Versicherung is insurance, not affirmation.
894. die Versorgungseinrichtung | supply/care facility | OK
895. die Verteidigungspolitik | defence policy | OK
896. die Verwaltungsstruktur | administration structure | OK
897. die Verwundbarkeit | vulnerability | OK
898. das Veto | veto | OK
899. der Vetter | cousin/father's brother/kissing cousin | IMPROVE: cousin - Vetter normally means male cousin; the extra meanings are misleading.
900. die Videoaufzeichnung | video recording | OK
901. die Vier | four | OK
902. das Viereck | quadrangle/quadrilateral/square | OK
903. die Gemütlichkeit | coziness/gemütlichkeit/good nature | OK
904. das Vollbad | bath | IMPROVE: full bath - Vollbad is specifically a full bath, usually in a tub.
905. die Volllast | full load | OK
906. das Vorderrad | bicycle | WRONG: front wheel - Vorderrad is a front wheel, not a bicycle itself.
907. der Vorschuss | advance | OK
908. der Vortrieb | propulsion | OK
909. das Waffengesetz | weapons law/Weapons Act | OK
910. das Wahljahr | election year | OK
911. die Generalversammlung | annual general meeting | OK
912. die Wandmalerei | mural | OK
913. das Warenangebot | range of goods/product range | OK
914. der Wärmeschutz | thermal insulation/heat protection | OK
915. die Wasserprobe | water sample | OK
916. der Wasserspeicher | water reservoir/water tank | OK
917. die Wasserstraße | waterway | OK
918. der Wasserverlust | water loss | OK
919. das Wattestäbchen | cotton bud/cotton swab | OK
920. das Weißbuch | white paper | OK
921. die Weiterreise | continuation of the journey/onward journey | OK
922. die Weitsicht | far-sightedness/farsightedness/foresight | OK
923. der Weltfrauentag | International Women's Day | OK
924. das Weltklima | global climate | OK
925. die Weltmusik | Earth music | WRONG: world music - Weltmusik is the music genre world music.
926. die Werkfeuerwehr | plant fire brigade/plant fire department | OK
927. der Wertpapierhandel | securities trading | OK
928. der Werwolf | Werwolf/werewolf | OK
929. der Whistleblower | whistle blower/whistle-blower/whistleblower | OK
930. der Gesamtbetrag | total amount | OK
931. die Wiedergeburt | new birth/rebirth/reincarnation | OK
932. die Wiesn | Oktoberfest (Bavarian) | OK
933. das Wildpferd | wild horse | OK
934. die Wildpflanze | game plant | WRONG: wild plant - Wild- means wild here, not game as meat or hunting.
935. der Wirkungsbereich | effect area | IMPROVE: sphere of influence/area of effect - Wirkungsbereich is the area where something has an effect.
936. der Wirtschaftsausschuss | economics committee | IMPROVE: economic affairs committee - Wirtschaft here means economy, not economics as a discipline.
937. die Wirtschaftsgeschichte | economic history | OK
938. der Wirtschaftsverband | marketing board/trade association | IMPROVE: business association/trade association - Marketing board is not the primary meaning of Wirtschaftsverband.
939. der Wissenschaftsjournalist | academic discipline journalist | WRONG: science journalist - Wissenschaft means science or scholarship here, not academic discipline as an adjective.
940. die Neuzulassung | admission | IMPROVE: new registration/new approval - Neuzulassung means a newly granted registration or approval.
941. das Wohlgefühl | feeling of well-being | OK
942. das Wohnrecht | law | WRONG: right of residence/right to live in a property - Wohnrecht is a specific right, not law in general.
943. das Wohnungswesen | accommodation being | WRONG: housing sector/housing system - Wohnungswesen means the housing system or sector.
944. der Wolfsburger | Lupus burger | WRONG: person from Wolfsburg/Wolfsburg resident - Wolfsburger means someone or something from Wolfsburg.
945. der Youngster | youngster | OK
946. die Zahlungsverpflichtung | payment commitment | OK
947. das Zahnimplantat | dental implant | OK
948. die Zärtlichkeit | caresses/solicitousness/tenderness | OK
949. die Pleite | bankruptcy/bust/collapse | OK
950. der Gin | gin | OK
951. die Zeitlang | while/period of time | OK
952. die Zeitverzögerung | time delay | OK
953. das Zentralinstitut | central office institute | IMPROVE: central institute - The current gloss adds an unnecessary and misleading 'office'.
954. der Zepter | scepter/sceptre | OK
955. der Ziegenkäse | goat cheese/goat's cheese | OK
956. das Zinn | tin | OK
957. der Zoodirektor | zoo director | OK
958. die Zoologie | zoology | OK
959. der Zukunftsmarkt | future market | OK
960. das Zukunftsszenario | future scenario | OK
961. der Zuname | agnomen/family name/nickname | IMPROVE: surname/family name - Zuname is most usefully learned as surname or family name.
962. die Zurückweisung | rejection/repudiation | OK
963. die Zusicherung | assurance/guarantee | OK
964. der Zusteller | delivery agent/deliveryman/letter carrier | OK
965. der Zwischenhändler | dealer | IMPROVE: middleman/intermediary dealer - Zwischenh?ndler is specifically an intermediary trader.
966. die Zyste | cyst | OK
967. die Oberklasse | upper class/luxury class | OK
968. der Glücksfall | fluke/stroke of luck | OK
969. die Abfallart | type of waste | OK
970. die Abfallberatung | waste counseling | IMPROVE: waste advisory service - Beratung is advice or advisory service, not personal counseling here.
971. die Abspaltung | separation | OK
972. das Gluten | gluten | OK
973. die Abwasserleitung | drain/sewerage | IMPROVE: wastewater pipe/sewer line - Abwasserleitung is a pipe or line for wastewater.
974. die Abwehrkraft | resistance | OK
975. die Acrylfarbe | acrylic paint | OK
976. der Afroamerikaner | African American/Afro-American | OK
977. das Akkordeon | accordion | OK
978. die Aktivkohle | activated carbon/activated coal | OK
979. die Alarmglocke | alarm bell | OK
980. der Albatros | albatross/double-eagle | OK
981. der Alki | alky | IMPROVE: drunk/alcoholic (colloquial) - Alki is colloquial German; 'alky' is obscure in English.
982. das Allheilmittel | cure-all/panacea/universal remedy | OK
983. das Onlineangebot | offer | IMPROVE: online offering/online service - The current gloss is too vague for the compound.
984. der Altersunterschied | age difference | OK
985. die Ampulle | ampoule | OK
986. die Amsel | blackbird | OK
987. der Amtsträger | office holder | OK
988. die Orangerie | orangery | OK
989. die Anbaumethode | cultivation method | OK
990. der Anbeginn | very beginning | OK
991. der Änderungsvorschlag | alteration offer | WRONG: proposed change/amendment proposal - Vorschlag is a proposal, not an offer in this context.
992. das Aneurysma | aneurysm | OK
993. das Angestelltenverhältnis | background | WRONG: employment relationship/status as salaried employee - Angestelltenverh?ltnis is an employment relationship, not a background.
994. der Golfer | golfer | OK
995. die Anlegestelle | landing/landing place/landing stage | OK
996. der Anreisetag | arrival day | OK
997. der Anteilsschein | portion appearance | WRONG: share certificate/unit certificate - Anteil means share, and Schein is a certificate here.
998. die Anthologie | anthology | OK
999. die Arbeitgeberseite | employer angle | WRONG: employer side - Seite means side here, not angle.
1000. der Arbeitnehmervertreter | employee agent | IMPROVE: employee representative - Vertreter is representative; agent is less natural here.
