1. der Monoskibobfahrer | monoski bobber | OK
611. die Kontaktdaten | contact details | OK
612. die Rechnungsinformation | invoice information | OK
613. die Sofort-Überweisung | instant bank transfer | OK
614. die Ticketwahl | ticket selection | OK
615. die Versandart | shipping method | OK
616. die Zahlungsart | payment method | OK
617. die Zwischensumme | subtotal | OK
618. der Hardrock | hard rock | OK
619. der Pop | pop | OK
620. der Kunstexperte | art expert | OK
621. die Kunstexpertin | art expert | OK
622. die Nachrichtensprecherin | newsreader | OK
623. der Radiosprecher | radio announcer | OK
624. die Radiosprecherin | radio announcer | OK
625. das Relativpronomen | relative pronoun | OK
626. das Bezugswort | reference word | OK
627. das Tierbild | animal picture | OK
628. die Olive | olive | OK
629. der Orangensaft | orange juice | OK
630. die Tiermalerei | animal painting | OK
631. die Bildbeschreibung | image description | OK
632. die Musikgruppe | band | OK
633. das Konzerthaus | concert hall/concert house | OK
634. der Lieblingsort | favourite place | OK
635. der Reisebericht | travelogue/travel report | OK
636. das Gesprächsthema | conversation subject | OK
637. der Loft | loft | OK
638. die Kontonummer | account number | OK
639. der Badeurlaub | bath furlough | WRONG: beach holiday/seaside holiday — Badeurlaub is a swimming or beach holiday, not “bath furlough”.
640. der Plural | plural | OK
641. die Grillparty | barbecue | OK
642. das Personalpronomen | personal pronoun | OK
643. das Double | double | OK
644. die Taxifahrt | cab ride/taxi ride | OK
645. der Champignon | button mushroom/mushroom | OK
646. das Sushi | sushi | OK
647. die Winterjacke | winter coat | OK
648. der Campingurlaub | camping furlough | WRONG: camping holiday/camping vacation — Urlaub is a holiday/vacation here, not furlough.
649. der Einkaufszettel | grocery list/shopping list | OK
650. der Taxifahrer | cabbie/taxi driver | OK
651. der Traumurlaub | dream furlough | WRONG: dream holiday/dream vacation — Urlaub is a holiday/vacation here, not furlough.
652. das Subjekt | subject | OK
653. das Reihenhaus | terraced house/row house | OK
654. die Süßigkeit | candy/sweet/sweetness | OK
655. das Adjektiv | adjective/adnoun/describing word | OK
656. das Strafgesetzbuch | criminal code/penal code | OK
657. der Tresor | safe/safety deposit box/vault | OK
658. das Vereinsleben | association life | OK
659. der Vokal | vowel | OK
660. das Videospiel | video game | OK
661. das Heimatland | homeland/native country | OK
662. der Bademantel | bathrobe | OK
663. das Abendessen | dinner/supper/supping | OK
664. der Botenstoff | messenger/semiochemical | IMPROVE: messenger substance/signaling molecule — Botenstoff is a biochemical messenger substance, not just “messenger”.
665. das Bücherregal | bookcase | OK
666. das Geburtsdatum | date of birth | OK
667. das Business | business | OK
668. das Etappenziel | communications zone aim | WRONG: stage destination/milestone — Etappenziel is a stage goal or milestone, not “communications zone aim”.
669. die Grammatik | grammar | OK
670. die Telefonnummer | telephone number | OK
671. die Himmelsrichtung | cardinal direction | OK
672. die Kurzform | form | IMPROVE: short form/abbreviation — Kurzform specifically means a shortened form.
673. die Geschlechterrolle | gender role | OK
674. das Lotto | lotto/sweapstakes | OK
675. das Grundbedürfnis | basis need | IMPROVE: basic need — “Basis need” is not idiomatic English.
676. der Ideenreichtum | idea wealth | IMPROVE: wealth of ideas/ingenuity — Ideenreichtum is abundance of ideas, not “idea wealth”.
677. die Machenschaft | machination | OK
678. der Knochenbruch | fracture | OK
679. der Buchhändler | bookseller | OK
680. das Casting | casting | OK
681. die Verhaltenstherapie | behavior therapy/behavioral therapy | OK
682. die Anglistik | English studies/anglistics | OK
683. die Metzgerei | butcher's | OK
684. die Bestsellerliste | bestseller list/list of bestsellers | OK
685. der Buchautor | book author | OK
686. der Fortgang | departure/progress | OK
687. die Ruhepause | respite | OK
688. die Überlegenheit | superiority | OK
689. die Warnmeldung | warning message/alert | OK
690. der Banker | banker | OK
691. die Darlegung | exposition/explanation | OK
692. die Hausordnung | house rule | OK
693. der Kapitalgeber | lender of capital | OK
694. die Koproduktion | co-production | OK
695. das Schuldgefühl | feeling of guilt | OK
696. die Spracherkennung | automatic speech processing/speech reception | IMPROVE: speech recognition — Spracherkennung means recognizing speech, especially by software.
697. die Vertrauenswürdigkeit | trustworthiness | OK
698. der Yoga | yoga | OK
699. der Aufstrich | spread/up-bow/upstroke | OK
700. die Ebbe | ebb tide/low tide | OK
701. der Freistoß | free kick | OK
702. die Familiengeschichte | family history | OK
703. der Förderunterricht | remedial teaching/support lessons | OK
704. das Gelächter | laughter | OK
705. der Hauptmieter | main tenant | OK
706. der Kitt | putty | OK
707. der Komiker | comedian/comedy writer/comic | OK
708. die Lebensmittelindustrie | food industry | OK
709. der Liebeskummer | lover's grief/lovesickness | OK
710. der Löwenzahn | dandelion/hawkbit | OK
711. die Gesetzmäßigkeit | law/lawfulness/legality | IMPROVE: regularity/lawfulness — Gesetzmäßigkeit usually means regularity or conformity to laws, not “legality”.
712. die Silvesternacht | night of New Year's Eve | OK
713. die Zuschrift | message/response | OK
714. das Gummibärchen | gummy bear | OK
715. die Kreditwürdigkeit | creditworthiness | OK
716. die Misere | misery/plight | OK
717. der Schuldige | culprit/guilty person | OK
718. der Tierschützer | animal rights activist/animal rights campaigner | OK
719. die Produktionskosten | production costs | OK
720. die Volksschule | elementary school | OK
721. die Weltliteratur | world literature | OK
722. der Hochsommer | midsummer | OK
723. die Blasmusik | wind music | IMPROVE: brass band music/wind music — Blasmusik is music for wind or brass instruments; “wind music” alone is awkward.
724. der Böller | firecracker/saluting gun | OK
725. die Homöopathie | homeopathy/homoeopathy/homœopathy | OK
726. die Jugendpsychiatrie | adolescence psychiatry | IMPROVE: child and adolescent psychiatry — Jugendpsychiatrie is the medical field, not “adolescence psychiatry”.
727. die Kindheitserinnerung | childhood memory | OK
728. der Klettverschluss | Velcro/hook and loop fastener/touch fastener | OK
729. die Lohnkosten | wage costs/labour costs | OK
730. der Reggae | reggae | OK
731. das Renommee | reputation | OK
732. die Salmonelle | salmonella | OK
733. das Satellitenbild | satellite picture | OK
734. die Süße | sweetness | OK
735. das Wirtschaftswunder | economic miracle | OK
736. der Bürostuhl | desk chair/office chair | OK
737. das Chromosom | chromosome | OK
738. die Cyberkriminalität | cybercrime | OK
739. die Entschleunigung | deceleration | OK
740. der Flaschenhals | bottleneck | OK
741. das Fremdkapital | borrowed capital | OK
742. der Heißluftballon | hot-air balloon | OK
743. das Placebo | placebo | OK
744. der Schnuller | binky/cigar/comforter | IMPROVE: pacifier/dummy/soother — “Cigar” is an erroneous extra meaning for Schnuller.
745. die Korrektheit | correct behaviour/correctness | OK
746. die Sprachlosigkeit | speechlessness | OK
747. das Studentenleben | student life | OK
748. die Tarnung | camouflage/cover | OK
749. die Testperson | subject/test person | OK
750. das Unfallrisiko | accident risk | OK
751. der Abschwung | dismount/downhill turn/downturn | OK
752. die Blamage | disgrace | OK
753. der Strandkorb | beach chair | OK
754. das Bowling | bowling | OK
755. die Doppelbelastung | doubles burden | WRONG: double burden — Doppelbelastung means a double burden, not “doubles burden”.
756. die Kunsthochschule | art academy | OK
757. die Gesamtauflage | total circulation/total edition | OK
758. die Handlungsanweisung | act directive | IMPROVE: instruction for action/action directive — “Act directive” is not idiomatic for Handlungsanweisung.
759. die Hauskatze | domestic cat/house cat | OK
760. die Hervorhebung | highlighting | OK
761. die Lebensart | way of life | OK
762. der Menschenverstand | common sense | OK
763. der Publikumsmagnet | crowd-pleaser | IMPROVE: crowd-puller/crowd magnet — Publikumsmagnet attracts an audience; “crowd-pleaser” shifts the meaning.
764. die Lederhose | leather trousers | OK
765. der Schrei | call/cry/shout | OK
766. das Sorgenkind | problem child | OK
767. der Spielzug | move/play | OK
768. die Verachtung | contempt | OK
769. der Wahn | delusion | OK
770. der Arzttermin | doc date | WRONG: doctor’s appointment — Arzttermin is an appointment with a doctor, not a “doc date”.
771. die Belletristik | belletristic literature/fiction | OK
772. das Dioxin | dioxin | OK
773. die Endlichkeit | finiteness/finitude | OK
774. der Gegenverkehr | oncoming traffic | OK
775. der Honorarprofessor | emolument professor | WRONG: honorary professor — Honorarprofessor is an honorary professor, not an “emolument professor”.
776. der Mächtige | powerful person | OK
777. der Originaltext | original lyric | IMPROVE: original text — Originaltext is any original text, not specifically a lyric.
778. die Sprechblase | speech balloon/speech bubble | OK
779. die Volksmusik | folk music | OK
780. die Widerstandskraft | resistance force | IMPROVE: resilience/power of resistance — Widerstandskraft is capacity to resist, not a physical “resistance force”.
781. die Zeitdauer | time duration | OK
782. das Auslaufmodell | discontinued model/obsolescent model/phase-out model | OK
783. der Ballast | ballast/burden/deadwood | OK
784. die Befindlichkeit | state/state of mind | OK
785. die Bevölkerungsschicht | population class | IMPROVE: social stratum/section of the population — Bevölkerungsschicht refers to a population stratum, not a “population class”.
786. der Brokkoli | broccoli | OK
787. der Choreograf | choreographer | OK
788. die Einschaltquote | audience rating | OK
789. die Elektrik | electrics/wiring | OK
790. der Fehlschlag | fail | IMPROVE: failure — Fehlschlag is the noun “failure”; “fail” is too informal and usually verbal.
791. die Fußsohle | sole of the foot | OK
792. der Geldschein | banknote/bill/note | OK
793. der Vorwand | excuse/pretext | OK
794. der Personenschaden | injury to person | IMPROVE: personal injury/bodily injury — Personenschaden is the legal/insurance term for injury to persons.
795. das Warmwasser | hot water | OK
796. die Karnevalszeit | carnival | IMPROVE: carnival season — Karnevalszeit is the season or period, not just carnival itself.
797. die Mischform | form | IMPROVE: mixed form/hybrid form — Mischform means a mixed or hybrid form, not just any form.
798. das Oberhaupt | head | OK
799. der Schachspieler | chess player | OK
800. das Streitgespräch | debate/dispute | OK
801. das Verhör | examination/interrogation/questioning | OK
802. die Zeugenaussage | deposition/testimony | OK
803. die Zielstrebigkeit | determination | OK
804. die Dummheit | folly/stupidity | OK
805. die Hirnforschung | brain research | OK
806. die Wissenslücke | knowledge gap | OK
807. die Hochbegabung | high giftedness | IMPROVE: giftedness/high ability — Hochbegabung is giftedness, not the awkward phrase “high giftedness”.
808. das Kalenderblatt | calendar page | OK
809. die Kapitulation | capitulation/surrender | OK
810. der Kittel | coat | OK
811. die Langzeitfolge | consequence | IMPROVE: long-term consequence — Langzeitfolge specifically means a long-term consequence.
812. die Lebensspanne | lifespan | OK
813. der Lehrmeister | mentor/master teacher | OK
814. der Literaturwissenschaftler | literary scholar | OK
815. das Rheuma | rheumatism | OK
816. die Stellensuche | job search | OK
817. die Urzeit | early times/primeval times | OK
818. die Vita | vita | OK
819. der Zoff | beef/fight/trouble | OK
820. der Arbeitskollege | colleague/coworker/fellow worker | OK
821. der Banküberfall | bank robbery | OK
822. der Barbar | barbarian/savage | OK
823. die Dialektik | dialectic | OK
824. die Ehrendoktorwürde | doctor honoris causa dignity | WRONG: honorary doctorate — Ehrendoktorwürde is the honor or title of an honorary doctorate.
825. die Extremsituation | situation | IMPROVE: extreme situation — Extremsituation includes the “extreme” sense, which “situation” omits.
826. der Glücksbringer | lucky charm | OK
827. die Schmiede | forge/smithy | OK
828. die Jugendkriminalität | juvenile delinquency/youth crime | OK
829. die Liberalisierung | liberalisation | OK
830. die Mango | mango/mango tree | OK
831. das Neuron | neuron | OK
832. die Niete | blank/duffer/good-for-nothing | OK
833. das Produktionsland | production country | OK
834. das Sabbatical | sabbatical | OK
835. das Waisenkind | orphan | OK
836. der Wirtschaftsinformatiker | business data processing specialist/economy computer scientist | IMPROVE: business informatics specialist — The current “economy computer scientist” wording is misleading.
837. die Zahlungsunfähigkeit | illiquidity | IMPROVE: insolvency/inability to pay — Zahlungsunfähigkeit is broader and more standard than “illiquidity”.
838. das Spa | spa | OK
839. das Flitterwochen | honeymoon | OK
840. die Glotze | TV/TV set/boob tube | OK
841. das Herzklopfen | palpitations/heart pounding | OK
842. die Hysterie | hysteria/hysterics | OK
843. die Bereitstellung | provision/supply | OK
844. die Missbildung | deformity/malformation | OK
845. der Plattenvertrag | record contract/record deal/recording contract | OK
846. der Psychopath | psychopath | OK
847. der Raubüberfall | robbery | OK
848. die Laufzeit | duration/runtime | OK
849. die Datenbank | database | OK
850. der Überfluss | abundance/affluence/luxury | OK
851. die Spitze | top/peak | OK
852. der Theaterbesuch | theater visit | OK
853. die Übermacht | superiority/overwhelming force | OK
854. der Großteil | majority/large part | OK
855. die Verdächtigung | suspicion | OK
856. der Vollzeitjob | full-time job | OK
857. das Zusammengehörigkeitsgefühl | communal spirit | OK
858. der Fanclub | fan club | OK
859. die Freisprechanlage | intercom | WRONG: hands-free system/speakerphone — Freisprechanlage is not an intercom.
860. der Geldmangel | dough dearth | WRONG: lack of money/shortage of money — Geldmangel is a money shortage, not “dough dearth”.
861. der Geringqualifizierte | low-qualified person | IMPROVE: low-skilled person/worker — “Low-qualified person” is understandable but not idiomatic.
862. die Haushälterin | housekeeper | OK
863. das Geschehen | happening | IMPROVE: events/what is happening — Geschehen refers to happenings or events, not usually a single “happening”.
864. die Holzbrücke | wooden bridge | OK
865. der Arbeitsalltag | work life | OK
866. der Kaffeesatz | coffee grounds | OK
867. das Areal | area | OK
868. der Krümel | crumb | OK
869. der Kulturwissenschaftler | cultural scientist | IMPROVE: cultural studies scholar — Kulturwissenschaftler is a scholar in cultural studies, not a “cultural scientist”.
870. die Literaturverfilmung | film adaptation | OK
871. das Nichtstun | faineance | WRONG: idleness/doing nothing — Nichtstun means doing nothing; “faineance” is not usable learner English.
872. das Schienbein | shin/shinbone/tibia | OK
873. die Spielsucht | game addiction | IMPROVE: gambling addiction — Spielsucht most commonly refers to pathological gambling.
874. das Webportal | Web portal | OK
875. das Stofftier | plush/plush toy/plushie | OK
876. der Indikator | bellwether/indicator | OK
877. der Techno | techno (music) | OK
878. der Trompeter | trumpeter | OK
879. der Vergaser | carbureter/carburetor/carburetter | OK
880. die Verlegenheit | embarrassment/perplexity | OK
881. die Verlockung | enticement | OK
882. die Verrohung | brutalisation | OK
883. die Zeitverschwendung | waste of time | OK
884. das Blasinstrument | wind instrument | OK
885. die Einkaufstasche | shopping bag | OK
886. die Gastprofessur | guest professorship | OK
887. das Stellenangebot | job offer | OK
888. die Gehirnhälfte | cerebral hemisphere/half of the brain | OK
889. die Gesetzeslücke | non liquet | WRONG: loophole in the law — Gesetzeslücke is a legal loophole, not non liquet.
890. die Beliebtheit | popularity | OK
891. die Imbissbude | snack bar | OK
892. die Internetsucht | Internet addiction | OK
893. das Kaffeepulver | coffee gunpowder | WRONG: ground coffee/coffee powder — Kaffeepulver is ground coffee, not “coffee gunpowder”.
894. die Krebsfrüherkennung | cancer | WRONG: early cancer detection/cancer screening — Krebsfrüherkennung is screening or early detection, not cancer itself.
895. der Kuhstall | cowshed | OK
896. die Kunstwelt | art Earth | WRONG: art world — Kunstwelt means the world of art, not “art Earth”.
897. die Lebenskrise | life crisis | OK
898. das Unrecht | injustice | OK
899. die Leseratte | bookworm | OK
900. der Meinungsmacher | opinion-maker | OK
901. das Nadelöhr | bottleneck/eye/eye of a needle | OK
902. der Regierungskreis | government circle | OK
903. der Schulfreund | school friend/schoolmate | OK
904. der Spielkamerad | playmate | OK
905. das Stigma | stigma | OK
906. die Stoßstange | bumper | OK
907. die Unlust | aversion | OK
908. die Zerstreuung | distraction/scattering | OK
909. die Androhung | threat | OK
910. die Backe | buttock/cheek/cheek piece | OK
911. der Schüleraustausch | student exchange | OK
912. der Dauergast | permanent guest | OK
913. der Fachtext | specialist text/technical text | OK
914. die Fahrerflucht | hit and run/hit-and-run driving | OK
915. die Fingerspitze | fingertip | OK
916. das Glasdach | glass roof | OK
917. das Hirnareal | brain area | OK
918. der Kaffeefilter | coffee filter | OK
919. die Gesetzgebung | legislation | OK
920. die Kohleförderung | coal conveyance | WRONG: coal mining/coal extraction — Kohleförderung means extracting coal, not conveying it.
921. der Krimiautor | crime novel author | OK
922. das Kühlwasser | cooling water | OK
923. das Kunststudium | art studies | OK
924. das Kurzzeitgedächtnis | short-term memory | OK
925. die Marktlücke | gap in the market/market niche | OK
926. die Maskierung | masking | OK
927. der Opernsänger | opera singer | OK
928. die Produktpiraterie | counterfeit consumer goods | IMPROVE: product piracy/counterfeiting — Produktpiraterie is the practice, not the counterfeit goods themselves.
929. das Atelier | studio | OK
930. der Richtungswechsel | direction bill of exchange | WRONG: change of direction — Richtungswechsel has nothing to do with a bill of exchange.
931. die Haft | arrest/confinement/custody | OK
932. die Rücksichtslosigkeit | recklessness/ruthlessness | OK
933. die Stoppuhr | stopwatch | OK
934. das Tagesgeschehen | day happening | WRONG: current affairs/events of the day — Tagesgeschehen means current events, not “day happening”.
935. die Psychotherapie | psychotherapy | OK
936. die Verbrecherjagd | criminal chase | IMPROVE: manhunt/hunt for criminals — Verbrecherjagd is a hunt for criminals, not the phrase “criminal chase”.
937. das Verkehrswesen | traffic system | IMPROVE: transport system — Verkehrswesen refers to the transport/traffic sector or system.
938. die Bedenkzeit | respite/time for consideration | OK
939. die Desinfektion | disinfection | OK
940. der Verzehr | consumption | OK
941. das Erfrischungsgetränk | soft drink | OK
942. das Gros | majority/bulk | OK
943. die Bauzeit | construction time | OK
944. der Kunstschatz | art treasure | OK
945. die Linguistik | linguistics | OK
946. der Personalchef | personnel manager/HR manager | OK
947. die Silbe | syllable | OK
948. der Ermittler | investigator/undercover agent | OK
949. das Skateboard | skateboard | OK
950. das Gesundheitssystem | healthcare system | OK
951. die Steinkohle | glance coal/hard coal/stone coal | IMPROVE: hard coal — “Glance coal” and “stone coal” are obscure; hard coal is the useful primary translation.
952. der Totschlag | manslaughter | OK
953. die Kapsel | capsule/crown cap | OK
954. die Aufnahmeprüfung | entrance examination | OK
955. der Gutenachtkuss | goodnight kiss | OK
956. der Scheidungsgrund | grounds for divorce | OK
957. der Tagebucheintrag | diary entry | OK
958. das Zeitgefühl | sense of time | OK
959. die Beschädigung | damage | OK
960. der Zeitunterschied | time difference | OK
961. der Hauptfaktor | main factor | OK
962. der Dokumentarfilm | documentary | OK
963. die Neuartigkeit | novelty | OK
964. das Zeitempfinden | sense of time | OK
965. der Vereinsgeist | club spirit | OK
966. die Vereinsmeierei | club's bureaucracy | WRONG: clubbiness/parochial club mentality — Vereinsmeierei criticizes petty club culture, not club bureaucracy.
967. das Gesagte | what has been said | OK
968. die Millisekunde | millisecond | OK
969. die Vereinsarbeit | work of the association | OK
970. das Stand-up-paddling | stand-up paddling | OK
971. das Internetangebot | Internet offer | IMPROVE: online offering/internet service — Internetangebot is an online offering, not a literal “Internet offer”.
972. der Strukturwandel | structural transformation | OK
973. der Klickgarant | click guarantor | IMPROVE: click magnet/reliable click draw — Klickgarant means something guaranteed to attract clicks, not a person guaranteeing clicks.
974. der Computerwissenschaftler | computer scientist | OK
975. die Erholungsphase | recovery phase | OK
976. die Großtante | great aunt | OK
977. die Handysucht | mobile phone addiction | OK
978. der Juniorprofessor | junior professor | OK
979. die Nachrichtenseite | news page | OK
980. der Schweinezüchter | pig farmer | OK
981. das Spielcasino | casino | OK
982. der Topwert | top value | OK
983. das Nutzungsverhalten | usage behaviour | OK
984. die Verstehenshilfe | aid to understanding | OK
985. der Studiogast | studio guest | OK
986. die Nervensäge | pain in the arse | OK
987. der Putzplan | cleaning plan | OK
988. das Architekturstudium | architecture programme | OK
989. das Extra | extra | OK
990. die Gemeinschaftskasse | Community Treasury | WRONG: communal fund/shared kitty — Gemeinschaftskasse is a shared fund, not a community treasury.
991. die Hausetage | house floor | OK
992. die Holzwerkstatt | wood workshop | OK
993. das Lebensprinzip | life principle | OK
994. der Beruhigungssauger | soother | OK
995. der Doppelstich | double stitch | OK
996. die Fahrradkette | bicycle chain | OK
997. der Wille | volition/will | OK
998. die Klette | burdock | OK
999. der Korbmacher | basket maker | OK
1000. der Korbstuhl | wicker chair | OK
